Player_Name,Country,Mins,BF,4s,6s,SR,Oppn,Ground,Date,Runs,Not_Outs
SK Raina,INDIA,111,75,7,2,112,v England,Lord's,9/11/2011,84,0
MS Dhoni,INDIA,110,71,6,3,109.85,v England,Lord's,9/11/2011,78,1
RA Jadeja,INDIA,1,0,0,0,0,v England,Lord's,9/11/2011,0,1
PA Patel,INDIA,69,39,0,0,48.71,v England,Cardiff,9/16/2011,19,0
AM Rahane,INDIA,54,47,3,0,55.31,v England,Cardiff,9/16/2011,26,0
R Dravid,INDIA,107,79,4,0,87.34,v England,Cardiff,9/16/2011,69,0
V Kohli,INDIA,102,93,9,1,115.05,v England,Cardiff,9/16/2011,107,0
SK Raina,INDIA,37,15,0,1,100,v England,Cardiff,9/16/2011,15,0
MS Dhoni,INDIA,35,26,5,2,192.3,v England,Cardiff,9/16/2011,50,1
RA Jadeja,INDIA,2,1,0,0,0,v England,Cardiff,9/16/2011,0,0
R Ashwin,INDIA,5,0,0,0,0,v England,Cardiff,9/16/2011,0,1
PA Patel,INDIA,20,10,1,0,90,v England,Hyderabad (Deccan),10/14/2011,9,0
AM Rahane,INDIA,59,41,0,0,36.58,v England,Hyderabad (Deccan),10/14/2011,15,0
G Gambhir,INDIA,57,33,4,0,96.96,v England,Hyderabad (Deccan),10/14/2011,32,0
V Kohli,INDIA,70,63,0,0,58.73,v England,Hyderabad (Deccan),10/14/2011,37,0
SK Raina,INDIA,91,55,5,2,110.9,v England,Hyderabad (Deccan),10/14/2011,61,0
MS Dhoni,INDIA,104,70,10,1,124.28,v England,Hyderabad (Deccan),10/14/2011,87,1
RA Jadeja,INDIA,32,22,1,2,122.72,v England,Hyderabad (Deccan),10/14/2011,27,0
R Ashwin,INDIA,11,6,1,0,133.33,v England,Hyderabad (Deccan),10/14/2011,8,0
P Kumar,INDIA,9,1,0,0,100,v England,Hyderabad (Deccan),10/14/2011,1,1
PA Patel,INDIA,18,17,2,0,70.58,v England,Delhi,10/17/2011,12,0
AM Rahane,INDIA,34,15,1,1,93.33,v England,Delhi,10/17/2011,14,0
G Gambhir,INDIA,150,90,10,0,93.33,v England,Delhi,10/17/2011,84,1
V Kohli,INDIA,134,98,16,0,114.28,v England,Delhi,10/17/2011,112,1
PA Patel,INDIA,67,46,3,0,82.6,v England,Mohali,10/20/2011,38,0
AM Rahane,INDIA,166,104,6,0,87.5,v England,Mohali,10/20/2011,91,0
G Gambhir,INDIA,76,60,3,1,96.66,v England,Mohali,10/20/2011,58,0
V Kohli,INDIA,42,30,5,0,116.66,v England,Mohali,10/20/2011,35,0
SK Raina,INDIA,5,3,0,0,0,v England,Mohali,10/20/2011,0,0
MS Dhoni,INDIA,53,31,3,0,112.9,v England,Mohali,10/20/2011,35,1
RA Jadeja,INDIA,38,24,2,0,108.33,v England,Mohali,10/20/2011,26,1
PA Patel,INDIA,0,20,0,0,40,v England,Mumbai,10/23/2011,8,0
AM Rahane,INDIA,0,37,1,0,54.05,v England,Mumbai,10/23/2011,20,0
G Gambhir,INDIA,0,6,0,0,16.66,v England,Mumbai,10/23/2011,1,0
V Kohli,INDIA,0,99,11,0,86.86,v England,Mumbai,10/23/2011,86,1
SK Raina,INDIA,0,62,12,0,129.03,v England,Mumbai,10/23/2011,80,0
MS Dhoni,INDIA,0,18,1,1,83.33,v England,Mumbai,10/23/2011,15,1
AM Rahane,INDIA,80,61,6,0,68.85,v England,Kolkata,10/25/2011,42,0
G Gambhir,INDIA,70,46,4,0,82.6,v England,Kolkata,10/25/2011,38,0
V Kohli,INDIA,5,5,0,0,0,v England,Kolkata,10/25/2011,0,0
MK Tiwary,INDIA,41,30,4,0,80,v England,Kolkata,10/25/2011,24,0
SK Raina,INDIA,82,46,5,0,82.6,v England,Kolkata,10/25/2011,38,0
MS Dhoni,INDIA,103,69,3,4,108.69,v England,Kolkata,10/25/2011,75,1
RA Jadeja,INDIA,27,21,2,0,100,v England,Kolkata,10/25/2011,21,0
R Ashwin,INDIA,8,10,0,0,70,v England,Kolkata,10/25/2011,7,0
P Kumar,INDIA,17,12,1,1,133.33,v England,Kolkata,10/25/2011,16,0
R Vinay Kumar,INDIA,3,0,0,0,0,v England,Kolkata,10/25/2011,0,1
PA Patel,INDIA,18,13,2,0,92.3,v West Indies,Cuttack,11/29/2011,12,0
V Sehwag,INDIA,55,29,3,0,68.96,v West Indies,Cuttack,11/29/2011,20,0
G Gambhir,INDIA,3,3,1,0,133.33,v West Indies,Cuttack,11/29/2011,4,0
V Kohli,INDIA,13,6,0,0,50,v West Indies,Cuttack,11/29/2011,3,0
RG Sharma,INDIA,185,99,3,1,72.72,v West Indies,Cuttack,11/29/2011,72,0
SK Raina,INDIA,10,7,0,0,71.42,v West Indies,Cuttack,11/29/2011,5,0
RA Jadeja,INDIA,73,62,3,0,61.29,v West Indies,Cuttack,11/29/2011,38,0
R Ashwin,INDIA,17,10,0,0,60,v West Indies,Cuttack,11/29/2011,6,0
R Vinay Kumar,INDIA,67,48,1,0,37.5,v West Indies,Cuttack,11/29/2011,18,0
VR Aaron,INDIA,17,11,1,0,54.54,v West Indies,Cuttack,11/29/2011,6,1
UT Yadav,INDIA,13,9,1,0,66.66,v West Indies,Cuttack,11/29/2011,6,1
PA Patel,INDIA,5,6,0,0,33.33,v West Indies,Visakhapatnam,12/2/2011,2,0
V Sehwag,INDIA,71,35,3,0,74.28,v West Indies,Visakhapatnam,12/2/2011,26,0
G Gambhir,INDIA,24,18,2,0,66.66,v West Indies,Visakhapatnam,12/2/2011,12,0
V Kohli,INDIA,154,123,14,0,95.12,v West Indies,Visakhapatnam,12/2/2011,117,0
RG Sharma,INDIA,131,98,7,2,91.83,v West Indies,Visakhapatnam,12/2/2011,90,1
SK Raina,INDIA,3,1,0,0,0,v West Indies,Visakhapatnam,12/2/2011,0,0
RA Jadeja,INDIA,13,8,1,0,112.5,v West Indies,Visakhapatnam,12/2/2011,9,1
PA Patel,INDIA,60,35,7,0,111.42,v West Indies,Ahmedabad,12/5/2011,39,0
V Sehwag,INDIA,3,1,0,0,0,v West Indies,Ahmedabad,12/5/2011,0,0
G Gambhir,INDIA,1,1,0,0,0,v West Indies,Ahmedabad,12/5/2011,0,0
V Kohli,INDIA,21,30,3,0,66.66,v West Indies,Ahmedabad,12/5/2011,20,0
RG Sharma,INDIA,151,100,10,1,95,v West Indies,Ahmedabad,12/5/2011,95,0
SK Raina,INDIA,5,3,0,0,66.66,v West Indies,Ahmedabad,12/5/2011,2,0
RA Jadeja,INDIA,25,16,2,0,68.75,v West Indies,Ahmedabad,12/5/2011,11,0
R Ashwin,INDIA,74,64,1,0,48.43,v West Indies,Ahmedabad,12/5/2011,31,0
R Vinay Kumar,INDIA,7,8,0,0,37.5,v West Indies,Ahmedabad,12/5/2011,3,0
A Mithun,INDIA,25,16,2,2,143.75,v West Indies,Ahmedabad,12/5/2011,23,0
UT Yadav,INDIA,15,10,2,0,110,v West Indies,Ahmedabad,12/5/2011,11,1
G Gambhir,INDIA,100,67,11,0,100,v West Indies,Indore,12/8/2011,67,0
V Sehwag,INDIA,208,149,25,7,146.97,v West Indies,Indore,12/8/2011,219,0
SK Raina,INDIA,76,44,6,0,125,v West Indies,Indore,12/8/2011,55,0
RA Jadeja,INDIA,14,10,0,0,100,v West Indies,Indore,12/8/2011,10,0
RG Sharma,INDIA,21,16,3,0,168.75,v West Indies,Indore,12/8/2011,27,0
V Kohli,INDIA,15,11,3,0,209.09,v West Indies,Indore,12/8/2011,23,1
PA Patel,INDIA,9,3,0,0,100,v West Indies,Indore,12/8/2011,3,1
G Gambhir,INDIA,73,41,2,0,75.6,v West Indies,Chennai,12/11/2011,31,0
AM Rahane,INDIA,1,1,0,0,0,v West Indies,Chennai,12/11/2011,0,0
PA Patel,INDIA,1,1,0,0,0,v West Indies,Chennai,12/11/2011,0,0
MK Tiwary,INDIA,144,126,10,1,82.53,v West Indies,Chennai,12/11/2011,104,1
V Kohli,INDIA,99,85,5,0,94.11,v West Indies,Chennai,12/11/2011,80,0
RG Sharma,INDIA,31,26,1,0,80.76,v West Indies,Chennai,12/11/2011,21,0
SK Raina,INDIA,16,12,2,0,133.33,v West Indies,Chennai,12/11/2011,16,1
IK Pathan,INDIA,9,10,0,0,40,v West Indies,Chennai,12/11/2011,4,0
G Gambhir,INDIA,17,8,0,0,62.5,v Australia,Melbourne,2/5/2012,5,0
SR Tendulkar,INDIA,9,6,0,0,33.33,v Australia,Melbourne,2/5/2012,2,0
V Kohli,INDIA,30,34,3,0,91.17,v Australia,Melbourne,2/5/2012,31,0
RG Sharma,INDIA,34,21,2,0,100,v Australia,Melbourne,2/5/2012,21,0
SK Raina,INDIA,14,9,0,0,44.44,v Australia,Melbourne,2/5/2012,4,0
MS Dhoni,INDIA,61,38,1,0,76.31,v Australia,Melbourne,2/5/2012,29,0
RA Jadeja,INDIA,34,25,0,0,76,v Australia,Melbourne,2/5/2012,19,0
R Ashwin,INDIA,4,3,0,0,166.66,v Australia,Melbourne,2/5/2012,5,0
R Sharma,INDIA,2,2,0,0,50,v Australia,Melbourne,2/5/2012,1,0
P Kumar,INDIA,19,17,2,0,88.23,v Australia,Melbourne,2/5/2012,15,0
R Vinay Kumar,INDIA,13,15,1,0,80,v Australia,Melbourne,2/5/2012,12,1
V Sehwag,INDIA,12,8,2,0,125,v Sri Lanka,Perth,2/8/2012,10,0
SR Tendulkar,INDIA,87,63,5,0,76.19,v Sri Lanka,Perth,2/8/2012,48,0
V Kohli,INDIA,156,94,8,1,81.91,v Sri Lanka,Perth,2/8/2012,77,0
RG Sharma,INDIA,29,17,1,0,58.82,v Sri Lanka,Perth,2/8/2012,10,0
SK Raina,INDIA,30,27,3,0,88.88,v Sri Lanka,Perth,2/8/2012,24,0
MS Dhoni,INDIA,6,5,1,0,80,v Sri Lanka,Perth,2/8/2012,4,0
RA Jadeja,INDIA,57,28,1,0,85.71,v Sri Lanka,Perth,2/8/2012,24,1
R Ashwin,INDIA,45,38,3,0,78.94,v Sri Lanka,Perth,2/8/2012,30,1
G Gambhir,INDIA,140,111,7,0,82.88,v Australia,Adelaide,2/12/2012,92,0
V Sehwag,INDIA,38,21,3,0,95.23,v Australia,Adelaide,2/12/2012,20,0
V Kohli,INDIA,41,28,1,0,64.28,v Australia,Adelaide,2/12/2012,18,0
RG Sharma,INDIA,49,41,1,1,80.48,v Australia,Adelaide,2/12/2012,33,0
SK Raina,INDIA,65,30,3,1,126.66,v Australia,Adelaide,2/12/2012,38,0
MS Dhoni,INDIA,76,58,0,1,75.86,v Australia,Adelaide,2/12/2012,44,1
RA Jadeja,INDIA,11,8,0,0,150,v Australia,Adelaide,2/12/2012,12,0
R Ashwin,INDIA,8,2,0,0,50,v Australia,Adelaide,2/12/2012,1,1
G Gambhir,INDIA,168,106,6,0,85.84,v Sri Lanka,Adelaide,2/14/2012,91,0
SR Tendulkar,INDIA,25,24,2,0,62.5,v Sri Lanka,Adelaide,2/14/2012,15,0
V Kohli,INDIA,32,25,1,0,60,v Sri Lanka,Adelaide,2/14/2012,15,0
RG Sharma,INDIA,30,27,2,0,55.55,v Sri Lanka,Adelaide,2/14/2012,15,0
SK Raina,INDIA,19,19,0,0,42.1,v Sri Lanka,Adelaide,2/14/2012,8,0
MS Dhoni,INDIA,113,69,3,1,84.05,v Sri Lanka,Adelaide,2/14/2012,58,1
RA Jadeja,INDIA,14,10,0,0,30,v Sri Lanka,Adelaide,2/14/2012,3,0
R Ashwin,INDIA,21,13,1,0,107.69,v Sri Lanka,Adelaide,2/14/2012,14,0
IK Pathan,INDIA,7,5,0,1,160,v Sri Lanka,Adelaide,2/14/2012,8,0
R Vinay Kumar,INDIA,7,2,0,0,50,v Sri Lanka,Adelaide,2/14/2012,1,0
UT Yadav,INDIA,1,0,0,0,0,v Sri Lanka,Adelaide,2/14/2012,0,1
G Gambhir,INDIA,6,5,1,0,100,v Australia,Brisbane,2/19/2012,5,0
SR Tendulkar,INDIA,21,12,0,0,25,v Australia,Brisbane,2/19/2012,3,0
V Kohli,INDIA,44,25,0,0,48,v Australia,Brisbane,2/19/2012,12,0
RG Sharma,INDIA,6,5,0,0,0,v Australia,Brisbane,2/19/2012,0,0
SK Raina,INDIA,76,41,1,1,68.29,v Australia,Brisbane,2/19/2012,28,0
MS Dhoni,INDIA,115,84,2,1,66.66,v Australia,Brisbane,2/19/2012,56,0
RA Jadeja,INDIA,29,35,1,0,51.42,v Australia,Brisbane,2/19/2012,18,0
IK Pathan,INDIA,52,27,1,1,70.37,v Australia,Brisbane,2/19/2012,19,0
R Vinay Kumar,INDIA,14,12,0,0,50,v Australia,Brisbane,2/19/2012,6,0
Z Khan,INDIA,14,11,2,0,81.81,v Australia,Brisbane,2/19/2012,9,0
UT Yadav,INDIA,8,6,1,0,100,v Australia,Brisbane,2/19/2012,6,1
V Sehwag,INDIA,1,2,0,0,0,v Sri Lanka,Brisbane,2/21/2012,0,0
SR Tendulkar,INDIA,33,23,3,0,95.65,v Sri Lanka,Brisbane,2/21/2012,22,0
G Gambhir,INDIA,46,34,4,0,85.29,v Sri Lanka,Brisbane,2/21/2012,29,0
V Kohli,INDIA,116,83,2,0,79.51,v Sri Lanka,Brisbane,2/21/2012,66,0
SK Raina,INDIA,78,55,1,0,58.18,v Sri Lanka,Brisbane,2/21/2012,32,0
RA Jadeja,INDIA,35,21,1,0,80.95,v Sri Lanka,Brisbane,2/21/2012,17,0
IK Pathan,INDIA,51,34,7,0,138.23,v Sri Lanka,Brisbane,2/21/2012,47,0
PA Patel,INDIA,15,7,0,0,57.14,v Sri Lanka,Brisbane,2/21/2012,4,0
R Ashwin,INDIA,11,6,0,0,83.33,v Sri Lanka,Brisbane,2/21/2012,5,0
R Vinay Kumar,INDIA,4,4,0,0,0,v Sri Lanka,Brisbane,2/21/2012,0,0
UT Yadav,INDIA,5,2,0,0,0,v Sri Lanka,Brisbane,2/21/2012,0,1
V Sehwag,INDIA,8,11,1,0,45.45,v Australia,Sydney,2/26/2012,5,0
SR Tendulkar,INDIA,34,15,2,0,93.33,v Australia,Sydney,2/26/2012,14,0
G Gambhir,INDIA,68,48,3,0,47.91,v Australia,Sydney,2/26/2012,23,0
V Kohli,INDIA,36,27,2,0,77.77,v Australia,Sydney,2/26/2012,21,0
SK Raina,INDIA,16,7,1,0,114.28,v Australia,Sydney,2/26/2012,8,0
MS Dhoni,INDIA,68,49,0,0,28.57,v Australia,Sydney,2/26/2012,14,0
RA Jadeja,INDIA,30,17,1,0,47.05,v Australia,Sydney,2/26/2012,8,0
R Ashwin,INDIA,47,37,2,0,70.27,v Australia,Sydney,2/26/2012,26,0
IK Pathan,INDIA,25,22,1,2,100,v Australia,Sydney,2/26/2012,22,0
P Kumar,INDIA,8,4,0,0,25,v Australia,Sydney,2/26/2012,1,0
UT Yadav,INDIA,3,3,0,0,0,v Australia,Sydney,2/26/2012,0,1
V Sehwag,INDIA,29,16,5,1,187.5,v Sri Lanka,Hobart,2/28/2012,30,0
SR Tendulkar,INDIA,45,30,5,0,130,v Sri Lanka,Hobart,2/28/2012,39,0
G Gambhir,INDIA,97,64,4,0,98.43,v Sri Lanka,Hobart,2/28/2012,63,0
V Kohli,INDIA,133,86,16,2,154.65,v Sri Lanka,Hobart,2/28/2012,133,1
SK Raina,INDIA,53,24,3,1,166.66,v Sri Lanka,Hobart,2/28/2012,40,1
G Gambhir,INDIA,171,118,7,0,84.74,v Sri Lanka,Dhaka,3/13/2012,100,0
SR Tendulkar,INDIA,25,19,1,0,31.57,v Sri Lanka,Dhaka,3/13/2012,6,0
V Kohli,INDIA,148,120,7,0,90,v Sri Lanka,Dhaka,3/13/2012,108,0
MS Dhoni,INDIA,38,26,6,1,176.92,v Sri Lanka,Dhaka,3/13/2012,46,1
SK Raina,INDIA,35,17,3,1,176.47,v Sri Lanka,Dhaka,3/13/2012,30,1
G Gambhir,INDIA,27,16,1,0,68.75,v Bangladesh,Dhaka,3/16/2012,11,0
SR Tendulkar,INDIA,205,147,12,1,77.55,v Bangladesh,Dhaka,3/16/2012,114,0
V Kohli,INDIA,126,82,5,0,80.48,v Bangladesh,Dhaka,3/16/2012,66,0
SK Raina,INDIA,48,38,5,2,134.21,v Bangladesh,Dhaka,3/16/2012,51,0
MS Dhoni,INDIA,20,11,2,0,190.9,v Bangladesh,Dhaka,3/16/2012,21,1
RG Sharma,INDIA,9,6,0,0,66.66,v Bangladesh,Dhaka,3/16/2012,4,0
RA Jadeja,INDIA,8,2,0,0,200,v Bangladesh,Dhaka,3/16/2012,4,1
G Gambhir,INDIA,1,2,0,0,0,v Pakistan,Dhaka,3/18/2012,0,0
SR Tendulkar,INDIA,93,48,5,1,108.33,v Pakistan,Dhaka,3/18/2012,52,0
V Kohli,INDIA,211,148,22,1,123.64,v Pakistan,Dhaka,3/18/2012,183,0
RG Sharma,INDIA,109,83,5,1,81.92,v Pakistan,Dhaka,3/18/2012,68,0
SK Raina,INDIA,14,6,1,1,200,v Pakistan,Dhaka,3/18/2012,12,1
MS Dhoni,INDIA,4,1,1,0,400,v Pakistan,Dhaka,3/18/2012,4,1
G Gambhir,INDIA,12,6,0,0,50,v Sri Lanka,Hambantota,7/21/2012,3,0
V Sehwag,INDIA,132,97,10,0,98.96,v Sri Lanka,Hambantota,7/21/2012,96,0
V Kohli,INDIA,158,113,9,0,93.8,v Sri Lanka,Hambantota,7/21/2012,106,0
RG Sharma,INDIA,10,8,0,0,62.5,v Sri Lanka,Hambantota,7/21/2012,5,0
SK Raina,INDIA,75,45,3,1,111.11,v Sri Lanka,Hambantota,7/21/2012,50,0
MS Dhoni,INDIA,49,29,3,1,120.68,v Sri Lanka,Hambantota,7/21/2012,35,0
IK Pathan,INDIA,5,4,1,0,175,v Sri Lanka,Hambantota,7/21/2012,7,1
R Ashwin,INDIA,3,0,0,0,0,v Sri Lanka,Hambantota,7/21/2012,0,1
G Gambhir,INDIA,158,96,4,0,67.7,v Sri Lanka,Hambantota,7/24/2012,65,0
V Sehwag,INDIA,21,15,2,0,100,v Sri Lanka,Hambantota,7/24/2012,15,0
V Kohli,INDIA,6,5,0,0,20,v Sri Lanka,Hambantota,7/24/2012,1,0
RG Sharma,INDIA,5,5,0,0,0,v Sri Lanka,Hambantota,7/24/2012,0,0
SK Raina,INDIA,6,5,0,0,20,v Sri Lanka,Hambantota,7/24/2012,1,0
MS Dhoni,INDIA,26,16,2,0,68.75,v Sri Lanka,Hambantota,7/24/2012,11,0
IK Pathan,INDIA,28,19,0,0,31.57,v Sri Lanka,Hambantota,7/24/2012,6,0
R Ashwin,INDIA,19,15,3,0,140,v Sri Lanka,Hambantota,7/24/2012,21,0
Z Khan,INDIA,6,4,0,0,50,v Sri Lanka,Hambantota,7/24/2012,2,0
PP Ojha,INDIA,27,18,0,0,27.77,v Sri Lanka,Hambantota,7/24/2012,5,0
UT Yadav,INDIA,5,3,0,0,0,v Sri Lanka,Hambantota,7/24/2012,0,1
G Gambhir,INDIA,166,101,10,0,100.99,v Sri Lanka,Colombo (RPS),7/28/2012,102,0
V Sehwag,INDIA,6,6,0,0,50,v Sri Lanka,Colombo (RPS),7/28/2012,3,0
V Kohli,INDIA,80,65,2,0,58.46,v Sri Lanka,Colombo (RPS),7/28/2012,38,0
MS Dhoni,INDIA,60,49,1,0,63.26,v Sri Lanka,Colombo (RPS),7/28/2012,31,0
RG Sharma,INDIA,1,1,0,0,0,v Sri Lanka,Colombo (RPS),7/28/2012,0,0
SK Raina,INDIA,77,45,6,1,144.44,v Sri Lanka,Colombo (RPS),7/28/2012,65,1
IK Pathan,INDIA,61,31,3,0,109.67,v Sri Lanka,Colombo (RPS),7/28/2012,34,1
G Gambhir,INDIA,3,5,0,0,0,v Sri Lanka,Colombo (RPS),7/31/2012,0,0
V Sehwag,INDIA,46,29,6,0,117.24,v Sri Lanka,Colombo (RPS),7/31/2012,34,0
V Kohli,INDIA,187,119,12,1,107.56,v Sri Lanka,Colombo (RPS),7/31/2012,128,1
RG Sharma,INDIA,18,14,0,0,28.57,v Sri Lanka,Colombo (RPS),7/31/2012,4,0
MK Tiwary,INDIA,48,38,2,0,55.26,v Sri Lanka,Colombo (RPS),7/31/2012,21,0
SK Raina,INDIA,78,51,4,1,113.72,v Sri Lanka,Colombo (RPS),7/31/2012,58,1
G Gambhir,INDIA,173,99,7,0,88.88,v Sri Lanka,Pallekele,8/4/2012,88,0
AM Rahane,INDIA,22,17,1,0,52.94,v Sri Lanka,Pallekele,8/4/2012,9,0
V Kohli,INDIA,42,35,2,0,65.71,v Sri Lanka,Pallekele,8/4/2012,23,0
RG Sharma,INDIA,12,9,1,0,44.44,v Sri Lanka,Pallekele,8/4/2012,4,0
MK Tiwary,INDIA,81,68,6,0,95.58,v Sri Lanka,Pallekele,8/4/2012,65,0
SK Raina,INDIA,3,1,0,0,0,v Sri Lanka,Pallekele,8/4/2012,0,0
MS Dhoni,INDIA,57,38,8,1,152.63,v Sri Lanka,Pallekele,8/4/2012,58,0
IK Pathan,INDIA,54,28,2,0,103.57,v Sri Lanka,Pallekele,8/4/2012,29,1
R Ashwin,INDIA,5,5,0,0,40,v Sri Lanka,Pallekele,8/4/2012,2,1
G Gambhir,INDIA,25,17,1,0,47.05,v Pakistan,Chennai,12/30/2012,8,0
V Sehwag,INDIA,20,11,1,0,36.36,v Pakistan,Chennai,12/30/2012,4,0
V Kohli,INDIA,9,5,0,0,0,v Pakistan,Chennai,12/30/2012,0,0
Yuvraj Singh,INDIA,6,3,0,0,66.66,v Pakistan,Chennai,12/30/2012,2,0
RG Sharma,INDIA,19,14,0,0,28.57,v Pakistan,Chennai,12/30/2012,4,0
SK Raina,INDIA,116,88,2,0,48.86,v Pakistan,Chennai,12/30/2012,43,0
MS Dhoni,INDIA,177,125,7,3,90.4,v Pakistan,Chennai,12/30/2012,113,1
R Ashwin,INDIA,78,39,2,0,79.48,v Pakistan,Chennai,12/30/2012,31,1
G Gambhir,INDIA,45,25,1,0,44,v Pakistan,Kolkata,1/3/2013,11,0
V Sehwag,INDIA,70,43,3,0,72.09,v Pakistan,Kolkata,1/3/2013,31,0
V Kohli,INDIA,12,9,1,0,66.66,v Pakistan,Kolkata,1/3/2013,6,0
Yuvraj Singh,INDIA,30,19,0,0,47.36,v Pakistan,Kolkata,1/3/2013,9,0
SK Raina,INDIA,47,42,1,0,42.85,v Pakistan,Kolkata,1/3/2013,18,0
MS Dhoni,INDIA,121,89,4,1,60.67,v Pakistan,Kolkata,1/3/2013,54,1
R Ashwin,INDIA,15,22,0,0,13.63,v Pakistan,Kolkata,1/3/2013,3,0
RA Jadeja,INDIA,34,23,0,0,56.52,v Pakistan,Kolkata,1/3/2013,13,0
B Kumar,INDIA,2,2,0,0,0,v Pakistan,Kolkata,1/3/2013,0,0
AB Dinda,INDIA,2,2,0,0,0,v Pakistan,Kolkata,1/3/2013,0,0
I Sharma,INDIA,35,12,0,0,16.66,v Pakistan,Kolkata,1/3/2013,2,0
G Gambhir,INDIA,43,27,1,0,55.55,v Pakistan,Delhi,1/6/2013,15,0
AM Rahane,INDIA,22,11,1,0,36.36,v Pakistan,Delhi,1/6/2013,4,0
V Kohli,INDIA,25,17,1,0,41.17,v Pakistan,Delhi,1/6/2013,7,0
Yuvraj Singh,INDIA,40,23,4,0,100,v Pakistan,Delhi,1/6/2013,23,0
SK Raina,INDIA,81,60,2,1,51.66,v Pakistan,Delhi,1/6/2013,31,0
MS Dhoni,INDIA,77,55,1,3,65.45,v Pakistan,Delhi,1/6/2013,36,0
R Ashwin,INDIA,2,1,0,0,0,v Pakistan,Delhi,1/6/2013,0,0
RA Jadeja,INDIA,71,39,0,2,69.23,v Pakistan,Delhi,1/6/2013,27,0
B Kumar,INDIA,13,10,0,0,20,v Pakistan,Delhi,1/6/2013,2,0
I Sharma,INDIA,21,15,1,0,33.33,v Pakistan,Delhi,1/6/2013,5,0
Mohammed Shami,INDIA,8,5,0,0,0,v Pakistan,Delhi,1/6/2013,0,1
AM Rahane,INDIA,65,57,6,0,82.45,v England,Rajkot,1/11/2013,47,0
G Gambhir,INDIA,74,52,7,0,100,v England,Rajkot,1/11/2013,52,0
V Kohli,INDIA,45,22,1,0,68.18,v England,Rajkot,1/11/2013,15,0
Yuvraj Singh,INDIA,63,54,8,1,112.96,v England,Rajkot,1/11/2013,61,0
SK Raina,INDIA,75,49,7,0,102.04,v England,Rajkot,1/11/2013,50,0
MS Dhoni,INDIA,54,25,0,4,128,v England,Rajkot,1/11/2013,32,0
RA Jadeja,INDIA,17,9,0,0,77.77,v England,Rajkot,1/11/2013,7,0
R Ashwin,INDIA,17,8,2,0,162.5,v England,Rajkot,1/11/2013,13,0
B Kumar,INDIA,28,16,2,0,125,v England,Rajkot,1/11/2013,20,1
AB Dinda,INDIA,6,4,0,0,75,v England,Rajkot,1/11/2013,3,0
I Sharma,INDIA,6,5,1,0,140,v England,Rajkot,1/11/2013,7,1
AM Rahane,INDIA,23,14,0,0,28.57,v England,Kochi,1/15/2013,4,0
G Gambhir,INDIA,19,13,1,0,61.53,v England,Kochi,1/15/2013,8,0
V Kohli,INDIA,86,54,1,1,68.51,v England,Kochi,1/15/2013,37,0
Yuvraj Singh,INDIA,47,37,5,0,86.48,v England,Kochi,1/15/2013,32,0
SK Raina,INDIA,96,78,2,2,70.51,v England,Kochi,1/15/2013,55,0
MS Dhoni,INDIA,117,66,7,2,109.09,v England,Kochi,1/15/2013,72,0
RA Jadeja,INDIA,60,37,8,2,164.86,v England,Kochi,1/15/2013,61,1
R Ashwin,INDIA,4,1,0,0,100,v England,Kochi,1/15/2013,1,1
G Gambhir,INDIA,80,53,4,0,62.26,v England,Ranchi,1/19/2013,33,0
AM Rahane,INDIA,14,4,0,0,0,v England,Ranchi,1/19/2013,0,0
V Kohli,INDIA,110,79,9,2,97.46,v England,Ranchi,1/19/2013,77,1
Yuvraj Singh,INDIA,31,21,6,0,142.85,v England,Ranchi,1/19/2013,30,0
MS Dhoni,INDIA,12,12,2,0,83.33,v England,Ranchi,1/19/2013,10,1
G Gambhir,INDIA,22,16,2,0,62.5,v England,Mohali,1/23/2013,10,0
RG Sharma,INDIA,135,93,11,1,89.24,v England,Mohali,1/23/2013,83,0
V Kohli,INDIA,44,33,3,0,78.78,v England,Mohali,1/23/2013,26,0
Yuvraj Singh,INDIA,27,16,0,0,18.75,v England,Mohali,1/23/2013,3,0
SK Raina,INDIA,121,79,9,1,112.65,v England,Mohali,1/23/2013,89,1
MS Dhoni,INDIA,49,21,2,0,90.47,v England,Mohali,1/23/2013,19,0
RA Jadeja,INDIA,31,27,2,0,77.77,v England,Mohali,1/23/2013,21,1
G Gambhir,INDIA,61,42,5,0,57.14,v England,Dharamsala,1/27/2013,24,0
RG Sharma,INDIA,15,9,1,0,44.44,v England,Dharamsala,1/27/2013,4,0
V Kohli,INDIA,1,1,0,0,0,v England,Dharamsala,1/27/2013,0,0
Yuvraj Singh,INDIA,14,3,0,0,0,v England,Dharamsala,1/27/2013,0,0
SK Raina,INDIA,149,98,8,2,84.69,v England,Dharamsala,1/27/2013,83,0
MS Dhoni,INDIA,38,23,2,0,65.21,v England,Dharamsala,1/27/2013,15,0
RA Jadeja,INDIA,65,65,1,2,60,v England,Dharamsala,1/27/2013,39,0
R Ashwin,INDIA,32,21,1,1,90.47,v England,Dharamsala,1/27/2013,19,0
B Kumar,INDIA,27,30,5,0,103.33,v England,Dharamsala,1/27/2013,31,0
Mohammed Shami,INDIA,12,6,0,0,16.66,v England,Dharamsala,1/27/2013,1,0
I Sharma,INDIA,1,0,0,0,0,v England,Dharamsala,1/27/2013,0,1
RG Sharma,INDIA,96,81,8,1,80.24,v South Africa,Cardiff,6/6/2013,65,0
