Player,Runs,Mins,BF,4s,6s,SR,Inns,Oppn,Ground,Date
DT Johnston (IRE),DNB,-,-,-,-,-,2,v Canada,Amstelveen,7-Jul-10
AR Cusack (IRE),DNB,-,-,-,-,-,2,v Canada,Amstelveen,7-Jul-10
GH Dockrell (IRE),DNB,-,-,-,-,-,2,v Canada,Amstelveen,7-Jul-10
PL Mommsen (SCOT),11,79,59,2,0,18.64,1,v Kenya,Rotterdam,7-Jul-10
OJ Hairs (SCOT),27,52,35,6,0,77.14,1,v Kenya,Rotterdam,7-Jul-10
DF Watts (SCOT),50,117,92,2,0,54.34,1,v Kenya,Rotterdam,7-Jul-10
RD Berrington (SCOT),2,12,9,0,0,22.22,1,v Kenya,Rotterdam,7-Jul-10
NFI McCallum (SCOT),6,14,15,0,0,40,1,v Kenya,Rotterdam,7-Jul-10
MM Iqbal (SCOT),36,71,71,3,0,50.7,1,v Kenya,Rotterdam,7-Jul-10
DR Lockhart (SCOT),14,17,13,2,0,107.69,1,v Kenya,Rotterdam,7-Jul-10
GD Drummond (SCOT),3,4,3,0,0,100,1,v Kenya,Rotterdam,7-Jul-10
MA Parker (SCOT),2*,5,3,0,0,66.66,1,v Kenya,Rotterdam,7-Jul-10
G Goudie (SCOT),0*,1,0,0,0,-,1,v Kenya,Rotterdam,7-Jul-10
RT Lyons (SCOT),DNB,-,-,-,-,-,1,v Kenya,Rotterdam,7-Jul-10
MA Ouma (KENYA),1,7,6,0,0,16.66,2,v Scotland,Rotterdam,7-Jul-10
AA Obanda (KENYA),39,59,53,4,0,73.58,2,v Scotland,Rotterdam,7-Jul-10
CO Obuya (KENYA),1,14,4,0,0,25,2,v Scotland,Rotterdam,7-Jul-10
RR Patel (KENYA),3,53,33,0,0,9.09,2,v Scotland,Rotterdam,7-Jul-10
JK Kamande (KENYA),34,77,64,3,0,53.12,2,v Scotland,Rotterdam,7-Jul-10
TM Odoyo (KENYA),17,38,39,1,0,43.58,2,v Scotland,Rotterdam,7-Jul-10
DS Wesonga (KENYA),4,16,17,0,0,23.52,2,v Scotland,Rotterdam,7-Jul-10
NM Odhiambo (KENYA),29,60,31,3,0,93.54,2,v Scotland,Rotterdam,7-Jul-10
SO Ngoche (KENYA),2,11,13,0,0,15.38,2,v Scotland,Rotterdam,7-Jul-10
NN Odhiambo (KENYA),0,1,2,0,0,0,2,v Scotland,Rotterdam,7-Jul-10
JO Ngoche (KENYA),21*,40,30,1,0,70,2,v Scotland,Rotterdam,7-Jul-10
ES Szwarczynski (NL),5,13,10,1,0,50,1,v Afghanistan,The Hague,7-Jul-10
TN de Grooth (NL),22,56,32,4,0,68.75,1,v Afghanistan,The Hague,7-Jul-10
TLW Cooper (NL),101,180,155,9,0,65.16,1,v Afghanistan,The Hague,7-Jul-10
W Barresi (NL),0,1,1,0,0,0,1,v Afghanistan,The Hague,7-Jul-10
B Zuiderent (NL),19,70,49,1,0,38.77,1,v Afghanistan,The Hague,7-Jul-10
PW Borren (NL),3,10,8,0,0,37.5,1,v Afghanistan,The Hague,7-Jul-10
BP Kruger (NL),15,21,21,2,0,71.42,1,v Afghanistan,The Hague,7-Jul-10
AF Buurman (NL),23,27,23,4,0,100,1,v Afghanistan,The Hague,7-Jul-10
MBS Jonkman (NL),1*,3,2,0,0,50,1,v Afghanistan,The Hague,7-Jul-10
PM Seelaar (NL),DNB,-,-,-,-,-,1,v Afghanistan,The Hague,7-Jul-10
Adeel Raja (NL),DNB,-,-,-,-,-,1,v Afghanistan,The Hague,7-Jul-10
Karim Sadiq (AFG),26,90,69,2,0,37.68,2,v Netherlands,The Hague,7-Jul-10
Noor Ali Zadran (AFG),3,18,12,0,0,25,2,v Netherlands,The Hague,7-Jul-10
Shabir Noori (AFG),0,2,3,0,0,0,2,v Netherlands,The Hague,7-Jul-10
Mohammad Shahzad (AFG),55,69,63,8,0,87.3,2,v Netherlands,The Hague,7-Jul-10
Nawroz Mangal (AFG),67*,66,53,10,1,126.41,2,v Netherlands,The Hague,7-Jul-10
Asghar Afghan (AFG),28*,65,55,1,0,50.9,2,v Netherlands,The Hague,7-Jul-10
Hamid Hassan (AFG),DNB,-,-,-,-,-,2,v Netherlands,The Hague,7-Jul-10
Dawlat Ahmadzai (AFG),DNB,-,-,-,-,-,2,v Netherlands,The Hague,7-Jul-10
Khaliq Dad (AFG),DNB,-,-,-,-,-,2,v Netherlands,The Hague,7-Jul-10
Samiullah Shinwari (AFG),DNB,-,-,-,-,-,2,v Netherlands,The Hague,7-Jul-10
Mohammad Nabi (AFG),DNB,-,-,-,-,-,2,v Netherlands,The Hague,7-Jul-10
Tamim Iqbal (BDESH),28,25,22,4,0,127.27,1,v England,Nottingham,8-Jul-10
Imrul Kayes (BDESH),14,57,34,2,0,41.17,1,v England,Nottingham,8-Jul-10
Junaid Siddique (BDESH),51,90,70,5,0,72.85,1,v England,Nottingham,8-Jul-10
Raqibul Hasan (BDESH),76,148,95,7,0,80,1,v England,Nottingham,8-Jul-10
Shakib Al Hasan (BDESH),20,45,36,2,0,55.55,1,v England,Nottingham,8-Jul-10
Mushfiqur Rahim (BDESH),22,21,18,0,2,122.22,1,v England,Nottingham,8-Jul-10
Mahmudullah (BDESH),4,12,7,0,0,57.14,1,v England,Nottingham,8-Jul-10
Faisal Hossain (BDESH),8*,14,9,0,0,88.88,1,v England,Nottingham,8-Jul-10
Mashrafe Mortaza (BDESH),5,3,5,1,0,100,1,v England,Nottingham,8-Jul-10
Abdur Razzak (BDESH),3,4,4,0,0,75,1,v England,Nottingham,8-Jul-10
Shafiul Islam (BDESH),DNB,-,-,-,-,-,1,v England,Nottingham,8-Jul-10
AJ Strauss (ENG),50,50,37,7,0,135.13,2,v Bangladesh,Nottingham,8-Jul-10
C Kieswetter (ENG),32,59,40,3,1,80,2,v Bangladesh,Nottingham,8-Jul-10
IR Bell (ENG),84*,123,101,6,0,83.16,2,v Bangladesh,Nottingham,8-Jul-10
PD Collingwood (ENG),33,58,49,1,0,67.34,2,v Bangladesh,Nottingham,8-Jul-10
EJG Morgan (ENG),23,25,26,2,1,88.46,2,v Bangladesh,Nottingham,8-Jul-10
MH Yardy (ENG),10*,24,18,0,0,55.55,2,v Bangladesh,Nottingham,8-Jul-10
JC Tredwell (ENG),DNB,-,-,-,-,-,2,v Bangladesh,Nottingham,8-Jul-10
TT Bresnan (ENG),DNB,-,-,-,-,-,2,v Bangladesh,Nottingham,8-Jul-10
JM Anderson (ENG),DNB,-,-,-,-,-,2,v Bangladesh,Nottingham,8-Jul-10
SCJ Broad (ENG),DNB,-,-,-,-,-,2,v Bangladesh,Nottingham,8-Jul-10
LJ Wright (ENG),DNB,-,-,-,-,-,2,v Bangladesh,Nottingham,8-Jul-10
Karim Sadiq (AFG),2,9,8,0,0,25,1,v Scotland,Rotterdam,9-Jul-10
Noor Ali Zadran (AFG),15,76,46,0,0,32.6,1,v Scotland,Rotterdam,9-Jul-10
Javed Ahmadi (AFG),3,7,8,0,0,37.5,1,v Scotland,Rotterdam,9-Jul-10
Mohammad Shahzad (AFG),34,51,44,4,1,77.27,1,v Scotland,Rotterdam,9-Jul-10
Nawroz Mangal (AFG),38*,106,83,1,0,45.78,1,v Scotland,Rotterdam,9-Jul-10
Asghar Afghan (AFG),24,45,45,2,0,53.33,1,v Scotland,Rotterdam,9-Jul-10
Shapoor Zadran (AFG),0,2,3,0,0,0,1,v Scotland,Rotterdam,9-Jul-10
Mohammad Nabi (AFG),4,13,15,0,0,26.66,1,v Scotland,Rotterdam,9-Jul-10
Samiullah Shinwari (AFG),1,10,12,0,0,8.33,1,v Scotland,Rotterdam,9-Jul-10
Khaliq Dad (AFG),2,10,8,0,0,25,1,v Scotland,Rotterdam,9-Jul-10
Hamid Hassan (AFG),9,15,13,1,0,69.23,1,v Scotland,Rotterdam,9-Jul-10
DF Watts (SCOT),46,178,99,3,0,46.46,2,v Afghanistan,Rotterdam,9-Jul-10
OJ Hairs (SCOT),4,13,8,1,0,50,2,v Afghanistan,Rotterdam,9-Jul-10
RO Hussain (SCOT),17,50,22,2,0,77.27,2,v Afghanistan,Rotterdam,9-Jul-10
RD Berrington (SCOT),7,33,23,0,0,30.43,2,v Afghanistan,Rotterdam,9-Jul-10
NFI McCallum (SCOT),19,38,50,2,0,38,2,v Afghanistan,Rotterdam,9-Jul-10
MM Iqbal (SCOT),15*,50,34,2,0,44.11,2,v Afghanistan,Rotterdam,9-Jul-10
DR Lockhart (SCOT),5,-,19,0,0,26.31,2,v Afghanistan,Rotterdam,9-Jul-10
MA Parker (SCOT),1,3,4,0,0,25,2,v Afghanistan,Rotterdam,9-Jul-10
GD Drummond (SCOT),3,7,4,0,0,75,2,v Afghanistan,Rotterdam,9-Jul-10
G Goudie (SCOT),3*,2,2,0,0,150,2,v Afghanistan,Rotterdam,9-Jul-10
RT Lyons (SCOT),DNB,-,-,-,-,-,2,v Afghanistan,Rotterdam,9-Jul-10
MA Ouma (KENYA),38,117,70,4,0,54.28,1,v Canada,Schiedam,9-Jul-10
AA Obanda (KENYA),14,26,19,3,0,73.68,1,v Canada,Schiedam,9-Jul-10
CO Obuya (KENYA),23,66,68,1,0,33.82,1,v Canada,Schiedam,9-Jul-10
RR Patel (KENYA),5,8,14,1,0,35.71,1,v Canada,Schiedam,9-Jul-10
JK Kamande (KENYA),21,18,23,1,1,91.3,1,v Canada,Schiedam,9-Jul-10
TM Odoyo (KENYA),13,54,33,0,0,39.39,1,v Canada,Schiedam,9-Jul-10
DS Wesonga (KENYA),22,32,30,1,0,73.33,1,v Canada,Schiedam,9-Jul-10
NN Odhiambo (KENYA),3,4,5,0,0,60,1,v Canada,Schiedam,9-Jul-10
SO Ngoche (KENYA),6,8,9,1,0,66.66,1,v Canada,Schiedam,9-Jul-10
JO Ngoche (KENYA),0,5,2,0,0,0,1,v Canada,Schiedam,9-Jul-10
AS Luseno (KENYA),0*,1,0,0,0,-,1,v Canada,Schiedam,9-Jul-10
H Patel (CAN),18,35,18,4,0,100,2,v Kenya,Schiedam,9-Jul-10
TC Bastiampillai (CAN),10,49,34,1,0,29.41,2,v Kenya,Schiedam,9-Jul-10
GEF Barnett (CAN),21,42,28,2,1,75,2,v Kenya,Schiedam,9-Jul-10
NR Kumar (CAN),5,10,13,0,0,38.46,2,v Kenya,Schiedam,9-Jul-10
A Bagai (CAN),61*,91,78,9,0,78.2,2,v Kenya,Schiedam,9-Jul-10
ZE Surkari (CAN),23*,72,47,5,0,48.93,2,v Kenya,Schiedam,9-Jul-10
AS Hansra (CAN),DNB,-,-,-,-,-,2,v Kenya,Schiedam,9-Jul-10
Rizwan Cheema (CAN),DNB,-,-,-,-,-,2,v Kenya,Schiedam,9-Jul-10
U Bhatti (CAN),DNB,-,-,-,-,-,2,v Kenya,Schiedam,9-Jul-10
PA Desai (CAN),DNB,-,-,-,-,-,2,v Kenya,Schiedam,9-Jul-10
HS Baidwan (CAN),DNB,-,-,-,-,-,2,v Kenya,Schiedam,9-Jul-10
PR Stirling (IRE),33,85,61,1,0,54.09,1,v Netherlands,Amstelveen,9-Jul-10
A Balbirnie (IRE),5,25,24,0,0,20.83,1,v Netherlands,Amstelveen,9-Jul-10
JD Hall (IRE),7,23,21,1,0,33.33,1,v Netherlands,Amstelveen,9-Jul-10
KJ O'Brien (IRE),0,1,1,0,0,0,1,v Netherlands,Amstelveen,9-Jul-10
AD Poynter (IRE),0,6,5,0,0,0,1,v Netherlands,Amstelveen,9-Jul-10
AR White (IRE),23,66,46,2,0,50,1,v Netherlands,Amstelveen,9-Jul-10
JF Mooney (IRE),54,84,71,4,1,76.05,1,v Netherlands,Amstelveen,9-Jul-10
NG Jones (IRE),25*,73,41,0,0,60.97,1,v Netherlands,Amstelveen,9-Jul-10
RD McCann (IRE),18,22,17,2,0,105.88,1,v Netherlands,Amstelveen,9-Jul-10
A van der Merwe (IRE),0,1,1,0,0,0,1,v Netherlands,Amstelveen,9-Jul-10
GH Dockrell (IRE),0,3,3,0,0,0,1,v Netherlands,Amstelveen,9-Jul-10
ES Szwarczynski (NL),14,9,13,2,0,107.69,2,v Ireland,Amstelveen,9-Jul-10
Mudassar Bukhari (NL),5,40,14,1,0,35.71,2,v Ireland,Amstelveen,9-Jul-10
TLW Cooper (NL),18,15,18,3,0,100,2,v Ireland,Amstelveen,9-Jul-10
W Barresi (NL),19,24,22,3,0,86.36,2,v Ireland,Amstelveen,9-Jul-10
B Zuiderent (NL),28,94,87,2,0,32.18,2,v Ireland,Amstelveen,9-Jul-10
PW Borren (NL),47,67,53,6,1,88.67,2,v Ireland,Amstelveen,9-Jul-10
AF Buurman (NL),0,6,5,0,0,0,2,v Ireland,Amstelveen,9-Jul-10
MBS Jonkman (NL),1*,24,9,0,0,11.11,2,v Ireland,Amstelveen,9-Jul-10
Adeel Raja (NL),0,1,3,0,0,0,2,v Ireland,Amstelveen,9-Jul-10
BP Loots (NL),1,6,6,0,0,16.66,2,v Ireland,Amstelveen,9-Jul-10
Mohammad Kashif (NL),0,2,3,0,0,0,2,v Ireland,Amstelveen,9-Jul-10
AA Obanda (KENYA),21,29,28,4,0,75,1,v Canada,Schiedam,10-Jul-10
RR Patel (KENYA),2,7,4,0,0,50,1,v Canada,Schiedam,10-Jul-10
CO Obuya (KENYA),34,70,54,3,0,62.96,1,v Canada,Schiedam,10-Jul-10
FN Otieno (KENYA),5,37,31,0,0,16.12,1,v Canada,Schiedam,10-Jul-10
JK Kamande (KENYA),4,13,8,0,0,50,1,v Canada,Schiedam,10-Jul-10
TM Odoyo (KENYA),39,70,64,1,1,60.93,1,v Canada,Schiedam,10-Jul-10
DS Wesonga (KENYA),33,65,56,4,0,58.92,1,v Canada,Schiedam,10-Jul-10
NN Odhiambo (KENYA),6,8,4,0,1,150,1,v Canada,Schiedam,10-Jul-10
HA Varaiya (KENYA),23,36,30,1,0,76.66,1,v Canada,Schiedam,10-Jul-10
JO Ngoche (KENYA),0,1,1,0,0,0,1,v Canada,Schiedam,10-Jul-10
AS Luseno (KENYA),16*,29,20,2,0,80,1,v Canada,Schiedam,10-Jul-10
H Patel (CAN),13,30,24,2,0,54.16,2,v Kenya,Schiedam,10-Jul-10
TC Bastiampillai (CAN),16,14,12,4,0,133.33,2,v Kenya,Schiedam,10-Jul-10
GEF Barnett (CAN),26,70,52,2,0,50,2,v Kenya,Schiedam,10-Jul-10
NR Kumar (CAN),14,58,40,2,0,35,2,v Kenya,Schiedam,10-Jul-10
A Bagai (CAN),39,107,62,2,1,62.9,2,v Kenya,Schiedam,10-Jul-10
Rizwan Cheema (CAN),1,17,18,0,0,5.55,2,v Kenya,Schiedam,10-Jul-10
ZE Surkari (CAN),49,71,69,5,0,71.01,2,v Kenya,Schiedam,10-Jul-10
AS Hansra (CAN),13*,24,13,2,0,100,2,v Kenya,Schiedam,10-Jul-10
U Bhatti (CAN),8*,10,6,1,0,133.33,2,v Kenya,Schiedam,10-Jul-10
PA Desai (CAN),DNB,-,-,-,-,-,2,v Kenya,Schiedam,10-Jul-10
HS Baidwan (CAN),DNB,-,-,-,-,-,2,v Kenya,Schiedam,10-Jul-10
DF Watts (SCOT),98,209,112,8,0,87.5,1,v Ireland,Amstelveen,10-Jul-10
PL Mommsen (SCOT),80,116,107,7,1,74.76,1,v Ireland,Amstelveen,10-Jul-10
RO Hussain (SCOT),2,7,9,0,0,22.22,1,v Ireland,Amstelveen,10-Jul-10
RD Berrington (SCOT),0,3,4,0,0,0,1,v Ireland,Amstelveen,10-Jul-10
NFI McCallum (SCOT),7,22,15,0,0,46.66,1,v Ireland,Amstelveen,10-Jul-10
MM Iqbal (SCOT),0,3,2,0,0,0,1,v Ireland,Amstelveen,10-Jul-10
DR Lockhart (SCOT),0,5,6,0,0,0,1,v Ireland,Amstelveen,10-Jul-10
MA Parker (SCOT),1,8,10,0,0,10,1,v Ireland,Amstelveen,10-Jul-10
GD Drummond (SCOT),30,33,26,2,0,115.38,1,v Ireland,Amstelveen,10-Jul-10
G Goudie (SCOT),1,6,2,0,0,50,1,v Ireland,Amstelveen,10-Jul-10
RT Lyons (SCOT),0*,1,0,0,0,-,1,v Ireland,Amstelveen,10-Jul-10
PR Stirling (IRE),32,48,38,3,1,84.21,2,v Scotland,Amstelveen,10-Jul-10
A Balbirnie (IRE),6,37,23,0,0,26.08,2,v Scotland,Amstelveen,10-Jul-10
AR Cusack (IRE),0,4,2,0,0,0,2,v Scotland,Amstelveen,10-Jul-10
KJ O'Brien (IRE),98*,129,104,4,3,94.23,2,v Scotland,Amstelveen,10-Jul-10
AR White (IRE),79,110,87,11,0,90.8,2,v Scotland,Amstelveen,10-Jul-10
JF Mooney (IRE),12*,14,14,1,1,85.71,2,v Scotland,Amstelveen,10-Jul-10
RD McCann (IRE),DNB,-,-,-,-,-,2,v Scotland,Amstelveen,10-Jul-10
GH Dockrell (IRE),DNB,-,-,-,-,-,2,v Scotland,Amstelveen,10-Jul-10
AD Poynter (IRE),DNB,-,-,-,-,-,2,v Scotland,Amstelveen,10-Jul-10
NG Jones (IRE),DNB,-,-,-,-,-,2,v Scotland,Amstelveen,10-Jul-10
DT Johnston (IRE),DNB,-,-,-,-,-,2,v Scotland,Amstelveen,10-Jul-10
ES Szwarczynski (NL),7,31,21,1,0,33.33,1,v Afghanistan,Rotterdam,10-Jul-10
AN Kervezee (NL),3,14,9,0,0,33.33,1,v Afghanistan,Rotterdam,10-Jul-10
TLW Cooper (NL),96,158,135,7,0,71.11,1,v Afghanistan,Rotterdam,10-Jul-10
PW Borren (NL),28,77,71,2,0,39.43,1,v Afghanistan,Rotterdam,10-Jul-10
B Zuiderent (NL),8,19,16,0,0,50,1,v Afghanistan,Rotterdam,10-Jul-10
W Barresi (NL),51*,53,40,4,3,127.5,1,v Afghanistan,Rotterdam,10-Jul-10
Mudassar Bukhari (NL),11*,9,8,1,0,137.5,1,v Afghanistan,Rotterdam,10-Jul-10
Mohammad Kashif (NL),DNB,-,-,-,-,-,1,v Afghanistan,Rotterdam,10-Jul-10
AF Buurman (NL),DNB,-,-,-,-,-,1,v Afghanistan,Rotterdam,10-Jul-10
BP Loots (NL),DNB,-,-,-,-,-,1,v Afghanistan,Rotterdam,10-Jul-10
Adeel Raja (NL),DNB,-,-,-,-,-,1,v Afghanistan,Rotterdam,10-Jul-10
Javed Ahmadi (AFG),3,10,9,0,0,33.33,2,v Netherlands,Rotterdam,10-Jul-10
Shabir Noori (AFG),0,3,3,0,0,0,2,v Netherlands,Rotterdam,10-Jul-10
Mohammad Shahzad (AFG),82,126,108,8,0,75.92,2,v Netherlands,Rotterdam,10-Jul-10
Nawroz Mangal (AFG),27,58,47,2,2,57.44,2,v Netherlands,Rotterdam,10-Jul-10
Asghar Afghan (AFG),64,78,68,5,3,94.11,2,v Netherlands,Rotterdam,10-Jul-10
Karim Sadiq (AFG),21*,38,28,2,1,75,2,v Netherlands,Rotterdam,10-Jul-10
Mohammad Nabi (AFG),6*,20,13,0,0,46.15,2,v Netherlands,Rotterdam,10-Jul-10
Samiullah Shinwari (AFG),DNB,-,-,-,-,-,2,v Netherlands,Rotterdam,10-Jul-10
Hamid Hassan (AFG),DNB,-,-,-,-,-,2,v Netherlands,Rotterdam,10-Jul-10
Aftab Alam (AFG),DNB,-,-,-,-,-,2,v Netherlands,Rotterdam,10-Jul-10
Mirwais Ashraf (AFG),DNB,-,-,-,-,-,2,v Netherlands,Rotterdam,10-Jul-10
Tamim Iqbal (BDESH),18,17,23,3,0,78.26,1,v England,Bristol,10-Jul-10
Imrul Kayes (BDESH),76,187,111,4,0,68.46,1,v England,Bristol,10-Jul-10
Junaid Siddique (BDESH),21,35,23,4,0,91.3,1,v England,Bristol,10-Jul-10
Jahurul Islam (BDESH),40,70,53,1,1,75.47,1,v England,Bristol,10-Jul-10
Shakib Al Hasan (BDESH),1,1,3,0,0,33.33,1,v England,Bristol,10-Jul-10
Mohammad Ashraful (BDESH),14,29,29,1,0,48.27,1,v England,Bristol,10-Jul-10
Mahmudullah (BDESH),24*,54,34,0,0,70.58,1,v England,Bristol,10-Jul-10
Mashrafe Mortaza (BDESH),22,26,25,2,1,88,1,v England,Bristol,10-Jul-10
Abdur Razzak (BDESH),1*,2,2,0,0,50,1,v England,Bristol,10-Jul-10
Shafiul Islam (BDESH),DNB,-,-,-,-,-,1,v England,Bristol,10-Jul-10
Rubel Hossain (BDESH),DNB,-,-,-,-,-,1,v England,Bristol,10-Jul-10
AJ Strauss (ENG),33,32,36,4,1,91.66,2,v Bangladesh,Bristol,10-Jul-10
C Kieswetter (ENG),20,40,17,2,1,117.64,2,v Bangladesh,Bristol,10-Jul-10
IJL Trott (ENG),94,170,130,8,0,72.3,2,v Bangladesh,Bristol,10-Jul-10
PD Collingwood (ENG),10,34,24,0,1,41.66,2,v Bangladesh,Bristol,10-Jul-10
EJG Morgan (ENG),1,6,3,0,0,33.33,2,v Bangladesh,Bristol,10-Jul-10
MH Yardy (ENG),10,24,24,0,0,41.66,2,v Bangladesh,Bristol,10-Jul-10
LJ Wright (ENG),15,33,22,0,1,68.18,2,v Bangladesh,Bristol,10-Jul-10
A Shahzad (ENG),5,13,9,0,0,55.55,2,v Bangladesh,Bristol,10-Jul-10
SCJ Broad (ENG),21,34,25,1,1,84,2,v Bangladesh,Bristol,10-Jul-10
JM Anderson (ENG),2,14,7,0,0,28.57,2,v Bangladesh,Bristol,10-Jul-10
IR Bell (ENG),0*,3,0,0,0,-,2,v Bangladesh,Bristol,10-Jul-10
AJ Strauss (ENG),154,201,140,16,5,110,1,v Bangladesh,Birmingham,12-Jul-10
C Kieswetter (ENG),0,2,2,0,0,0,1,v Bangladesh,Birmingham,12-Jul-10
IJL Trott (ENG),110,169,121,12,0,90.9,1,v Bangladesh,Birmingham,12-Jul-10
LJ Wright (ENG),0,1,1,0,0,0,1,v Bangladesh,Birmingham,12-Jul-10
PD Collingwood (ENG),8,8,7,1,0,114.28,1,v Bangladesh,Birmingham,12-Jul-10
EJG Morgan (ENG),1,6,2,0,0,50,1,v Bangladesh,Birmingham,12-Jul-10
RS Bopara (ENG),45*,22,16,2,4,281.25,1,v Bangladesh,Birmingham,12-Jul-10
TT Bresnan (ENG),10,5,6,2,0,166.66,1,v Bangladesh,Birmingham,12-Jul-10
MH Yardy (ENG),8*,11,7,0,0,114.28,1,v Bangladesh,Birmingham,12-Jul-10
SCJ Broad (ENG),DNB,-,-,-,-,-,1,v Bangladesh,Birmingham,12-Jul-10
A Shahzad (ENG),DNB,-,-,-,-,-,1,v Bangladesh,Birmingham,12-Jul-10
Tamim Iqbal (BDESH),16,10,15,3,0,106.66,2,v England,Birmingham,12-Jul-10
Imrul Kayes (BDESH),4,20,9,1,0,44.44,2,v England,Birmingham,12-Jul-10
Junaid Siddique (BDESH),25,37,20,3,1,125,2,v England,Birmingham,12-Jul-10
Jahurul Islam (BDESH),27,51,41,5,0,65.85,2,v England,Birmingham,12-Jul-10
Shakib Al Hasan (BDESH),6,38,19,0,0,31.57,2,v England,Birmingham,12-Jul-10
Mohammad Ashraful (BDESH),13,28,19,0,1,68.42,2,v England,Birmingham,12-Jul-10
Mahmudullah (BDESH),42,90,81,4,0,51.85,2,v England,Birmingham,12-Jul-10
Mashrafe Mortaza (BDESH),14,16,17,3,0,82.35,2,v England,Birmingham,12-Jul-10
Abdur Razzak (BDESH),27,63,33,3,0,81.81,2,v England,Birmingham,12-Jul-10
Shafiul Islam (BDESH),16,10,12,1,1,133.33,2,v England,Birmingham,12-Jul-10
Rubel Hossain (BDESH),1*,6,7,0,0,14.28,2,v England,Birmingham,12-Jul-10
Tamim Iqbal (BDESH),5,12,7,0,0,71.42,1,v Ireland,Belfast,15-Jul-10
Imrul Kayes (BDESH),5,4,4,1,0,125,1,v Ireland,Belfast,15-Jul-10
Junaid Siddique (BDESH),100,177,123,9,0,81.3,1,v Ireland,Belfast,15-Jul-10
Jahurul Islam (BDESH),3,9,12,0,0,25,1,v Ireland,Belfast,15-Jul-10
Shakib Al Hasan (BDESH),50,95,78,3,0,64.1,1,v Ireland,Belfast,15-Jul-10
Mushfiqur Rahim (BDESH),9,28,18,0,0,50,1,v Ireland,Belfast,15-Jul-10
Mahmudullah (BDESH),14,19,22,0,0,63.63,1,v Ireland,Belfast,15-Jul-10
Mashrafe Mortaza (BDESH),15,16,13,1,1,115.38,1,v Ireland,Belfast,15-Jul-10
Abdur Razzak (BDESH),9*,21,13,1,0,69.23,1,v Ireland,Belfast,15-Jul-10
Rubel Hossain (BDESH),4,3,6,0,0,66.66,1,v Ireland,Belfast,15-Jul-10
Syed Rasel (BDESH),2*,7,4,0,0,50,1,v Ireland,Belfast,15-Jul-10
WTS Porterfield (IRE),108,147,116,7,3,93.1,2,v Bangladesh,Belfast,15-Jul-10
PR Stirling (IRE),52,72,57,7,0,91.22,2,v Bangladesh,Belfast,15-Jul-10
AR Cusack (IRE),45*,95,77,4,0,58.44,2,v Bangladesh,Belfast,15-Jul-10
NJ O'Brien (IRE),5,11,11,0,0,45.45,2,v Bangladesh,Belfast,15-Jul-10
KJ O'Brien (IRE),8*,10,10,0,0,80,2,v Bangladesh,Belfast,15-Jul-10
GH Dockrell (IRE),DNB,-,-,-,-,-,2,v Bangladesh,Belfast,15-Jul-10
AR White (IRE),DNB,-,-,-,-,-,2,v Bangladesh,Belfast,15-Jul-10
GC Wilson (IRE),DNB,-,-,-,-,-,2,v Bangladesh,Belfast,15-Jul-10
WB Rankin (IRE),DNB,-,-,-,-,-,2,v Bangladesh,Belfast,15-Jul-10
JF Mooney (IRE),DNB,-,-,-,-,-,2,v Bangladesh,Belfast,15-Jul-10
DT Johnston (IRE),DNB,-,-,-,-,-,2,v Bangladesh,Belfast,15-Jul-10
WTS Porterfield (IRE),6,19,19,1,0,31.57,1,v Bangladesh,Belfast,16-Jul-10
PR Stirling (IRE),6,23,9,0,0,66.66,1,v Bangladesh,Belfast,16-Jul-10
AR Cusack (IRE),0,22,12,0,0,0,1,v Bangladesh,Belfast,16-Jul-10
NJ O'Brien (IRE),27,49,39,4,0,69.23,1,v Bangladesh,Belfast,16-Jul-10
KJ O'Brien (IRE),14,43,32,1,0,43.75,1,v Bangladesh,Belfast,16-Jul-10
AR White (IRE),24,55,54,1,0,44.44,1,v Bangladesh,Belfast,16-Jul-10
GC Wilson (IRE),60,76,64,6,0,93.75,1,v Bangladesh,Belfast,16-Jul-10
JF Mooney (IRE),28,42,26,4,1,107.69,1,v Bangladesh,Belfast,16-Jul-10
DT Johnston (IRE),0,5,3,0,0,0,1,v Bangladesh,Belfast,16-Jul-10
WB Rankin (IRE),6*,15,12,0,0,50,1,v Bangladesh,Belfast,16-Jul-10
GH Dockrell (IRE),5*,12,6,0,0,83.33,1,v Bangladesh,Belfast,16-Jul-10
Tamim Iqbal (BDESH),74,149,91,6,1,81.31,2,v Ireland,Belfast,16-Jul-10
Imrul Kayes (BDESH),5,21,13,1,0,38.46,2,v Ireland,Belfast,16-Jul-10
Junaid Siddique (BDESH),13,20,16,2,0,81.25,2,v Ireland,Belfast,16-Jul-10
Jahurul Islam (BDESH),34,67,51,3,0,66.66,2,v Ireland,Belfast,16-Jul-10
Shakib Al Hasan (BDESH),33*,52,38,4,0,86.84,2,v Ireland,Belfast,16-Jul-10
Mushfiqur Rahim (BDESH),13*,13,16,3,0,81.25,2,v Ireland,Belfast,16-Jul-10
Abdur Razzak (BDESH),DNB,-,-,-,-,-,2,v Ireland,Belfast,16-Jul-10
Faisal Hossain (BDESH),DNB,-,-,-,-,-,2,v Ireland,Belfast,16-Jul-10
Mahmudullah (BDESH),DNB,-,-,-,-,-,2,v Ireland,Belfast,16-Jul-10
Shafiul Islam (BDESH),DNB,-,-,-,-,-,2,v Ireland,Belfast,16-Jul-10
