Player,Runs,Mins,BF,4s,6s,SR,Inns,Oppn,Ground,Date
S Matsikenyeri (ZIM),39,75,51,6,0,76.47,1,v Bangladesh,Dhaka,10-Jan-09
T Taibu (ZIM),17,25,19,3,0,89.47,1,v Bangladesh,Dhaka,10-Jan-09
SC Williams (ZIM),3,5,13,0,0,23.07,1,v Bangladesh,Dhaka,10-Jan-09
KM Dabengwa (ZIM),10,34,25,0,0,40,1,v Bangladesh,Dhaka,10-Jan-09
E Chigumbura (ZIM),64,98,95,5,1,67.36,1,v Bangladesh,Dhaka,10-Jan-09
P Utseya (ZIM),9,37,28,0,0,32.14,1,v Bangladesh,Dhaka,10-Jan-09
RW Price (ZIM),17,21,16,2,0,106.25,1,v Bangladesh,Dhaka,10-Jan-09
T Mupariwa (ZIM),1*,7,1,0,0,100,1,v Bangladesh,Dhaka,10-Jan-09
EC Rainsford (ZIM),0*,1,1,0,0,0,1,v Bangladesh,Dhaka,10-Jan-09
Tamim Iqbal (BDESH),13,47,40,2,0,32.5,2,v Zimbabwe,Dhaka,10-Jan-09
Junaid Siddique (BDESH),0,6,2,0,0,0,2,v Zimbabwe,Dhaka,10-Jan-09
Mushfiqur Rahim (BDESH),0,5,5,0,0,0,2,v Zimbabwe,Dhaka,10-Jan-09
Mohammad Ashraful (BDESH),18,37,21,3,0,85.71,2,v Zimbabwe,Dhaka,10-Jan-09
Shakib Al Hasan (BDESH),52,91,66,3,0,78.78,2,v Zimbabwe,Dhaka,10-Jan-09
Raqibul Hasan (BDESH),23,55,36,2,0,63.88,2,v Zimbabwe,Dhaka,10-Jan-09
Mehrab Hossain jnr (BDESH),2,3,4,0,0,50,2,v Zimbabwe,Dhaka,10-Jan-09
Naeem Islam (BDESH),21,49,52,1,0,40.38,2,v Zimbabwe,Dhaka,10-Jan-09
Mashrafe Mortaza (BDESH),3,14,11,0,0,27.27,2,v Zimbabwe,Dhaka,10-Jan-09
Mahbubul Alam (BDESH),22,32,28,1,1,78.57,2,v Zimbabwe,Dhaka,10-Jan-09
Nazmul Hossain (BDESH),3*,17,13,0,0,23.07,2,v Zimbabwe,Dhaka,10-Jan-09
WU Tharanga (SL),43,99,56,6,0,76.78,1,v Zimbabwe,Dhaka,12-Jan-09
ST Jayasuriya (SL),22,42,30,3,1,73.33,1,v Zimbabwe,Dhaka,12-Jan-09
KC Sangakkara (SL),4,18,16,0,0,25,1,v Zimbabwe,Dhaka,12-Jan-09
DPMD Jayawardene (SL),0,10,6,0,0,0,1,v Zimbabwe,Dhaka,12-Jan-09
CK Kapugedera (SL),4,9,7,1,0,57.14,1,v Zimbabwe,Dhaka,12-Jan-09
J Mubarak (SL),31,84,62,3,0,50,1,v Zimbabwe,Dhaka,12-Jan-09
AD Mathews (SL),52*,114,96,1,2,54.16,1,v Zimbabwe,Dhaka,12-Jan-09
T Thushara (SL),28*,42,27,0,2,103.7,1,v Zimbabwe,Dhaka,12-Jan-09
KMDN Kulasekara (SL),DNB,-,-,-,-,-,1,v Zimbabwe,Dhaka,12-Jan-09
BAW Mendis (SL),DNB,-,-,-,-,-,1,v Zimbabwe,Dhaka,12-Jan-09
M Muralitharan (SL),DNB,-,-,-,-,-,1,v Zimbabwe,Dhaka,12-Jan-09
H Masakadza (ZIM),3,25,22,0,0,13.63,2,v Sri Lanka,Dhaka,12-Jan-09
V Sibanda (ZIM),7,18,16,1,0,43.75,2,v Sri Lanka,Dhaka,12-Jan-09
S Matsikenyeri (ZIM),15,59,29,1,0,51.72,2,v Sri Lanka,Dhaka,12-Jan-09
T Taibu (ZIM),9,16,20,1,0,45,2,v Sri Lanka,Dhaka,12-Jan-09
SC Williams (ZIM),8,23,15,1,0,53.33,2,v Sri Lanka,Dhaka,12-Jan-09
P Utseya (ZIM),8,23,16,1,0,50,2,v Sri Lanka,Dhaka,12-Jan-09
KM Dabengwa (ZIM),6,19,12,1,0,50,2,v Sri Lanka,Dhaka,12-Jan-09
E Chigumbura (ZIM),6,24,25,0,0,24,2,v Sri Lanka,Dhaka,12-Jan-09
RW Price (ZIM),2,6,5,0,0,40,2,v Sri Lanka,Dhaka,12-Jan-09
T Mupariwa (ZIM),0,11,9,0,0,0,2,v Sri Lanka,Dhaka,12-Jan-09
EC Rainsford (ZIM),0*,1,1,0,0,0,2,v Sri Lanka,Dhaka,12-Jan-09
CH Gayle (WI),135,175,129,9,5,104.65,1,v New Zealand,Napier,13-Jan-09
S Chattergoon (WI),1,10,6,0,0,16.66,1,v New Zealand,Napier,13-Jan-09
RR Sarwan (WI),22,66,43,1,0,51.16,1,v New Zealand,Napier,13-Jan-09
S Chanderpaul (WI),94,118,91,9,1,103.29,1,v New Zealand,Napier,13-Jan-09
SE Findlay (WI),3,5,3,0,0,100,1,v New Zealand,Napier,13-Jan-09
KA Pollard (WI),19,10,8,1,2,237.5,1,v New Zealand,Napier,13-Jan-09
D Ramdin (WI),9,14,11,1,0,81.81,1,v New Zealand,Napier,13-Jan-09
