Player,Overs,Maidens,Runs,Wkts,Econ,Inns,Oppn,Ground,Date
FH Edwards (WI),6,1,26,3,4.33,1,v New Zealand,Christchurch,3-Jan-09
DBL Powell (WI),5,0,18,0,3.6,1,v New Zealand,Christchurch,3-Jan-09
JE Taylor (WI),6,0,26,2,4.33,1,v New Zealand,Christchurch,3-Jan-09
KA Pollard (WI),2,0,26,0,13,1,v New Zealand,Christchurch,3-Jan-09
NO Miller (WI),6,0,26,2,4.33,1,v New Zealand,Christchurch,3-Jan-09
CH Gayle (WI),3,0,28,1,9.33,1,v New Zealand,Christchurch,3-Jan-09
RR Sarwan (WI),DNB,-,-,-,-,1,v New Zealand,Christchurch,3-Jan-09
XM Marshall (WI),DNB,-,-,-,-,1,v New Zealand,Christchurch,3-Jan-09
D Ramdin (WI),DNB,-,-,-,-,1,v New Zealand,Christchurch,3-Jan-09
S Chattergoon (WI),DNB,-,-,-,-,1,v New Zealand,Christchurch,3-Jan-09
BP Nash (WI),DNB,-,-,-,-,1,v New Zealand,Christchurch,3-Jan-09
KD Mills (NZ),6,0,27,1,4.5,2,v West Indies,Christchurch,3-Jan-09
TG Southee (NZ),5.5,1,38,1,6.51,2,v West Indies,Christchurch,3-Jan-09
JS Patel (NZ),5,0,39,1,7.8,2,v West Indies,Christchurch,3-Jan-09
JDP Oram (NZ),5,0,25,1,5,2,v West Indies,Christchurch,3-Jan-09
DL Vettori (NZ),6,0,28,1,4.66,2,v West Indies,Christchurch,3-Jan-09
BB McCullum (NZ),DNB,-,-,-,-,2,v West Indies,Christchurch,3-Jan-09
DR Flynn (NZ),DNB,-,-,-,-,2,v West Indies,Christchurch,3-Jan-09
LRPL Taylor (NZ),DNB,-,-,-,-,2,v West Indies,Christchurch,3-Jan-09
JM How (NZ),DNB,-,-,-,-,2,v West Indies,Christchurch,3-Jan-09
GD Elliott (NZ),DNB,-,-,-,-,2,v West Indies,Christchurch,3-Jan-09
JD Ryder (NZ),DNB,-,-,-,-,2,v West Indies,Christchurch,3-Jan-09
KD Mills (NZ),10,2,31,2,3.1,1,v West Indies,Wellington,7-Jan-09
TG Southee (NZ),10,2,36,2,3.6,1,v West Indies,Wellington,7-Jan-09
JDP Oram (NZ),2,0,4,0,2,1,v West Indies,Wellington,7-Jan-09
GD Elliott (NZ),2,0,9,0,4.5,1,v West Indies,Wellington,7-Jan-09
DL Vettori (NZ),10,3,20,4,2,1,v West Indies,Wellington,7-Jan-09
JS Patel (NZ),3.4,0,8,1,2.18,1,v West Indies,Wellington,7-Jan-09
JD Ryder (NZ),4,0,17,1,4.25,1,v West Indies,Wellington,7-Jan-09
DR Flynn (NZ),DNB,-,-,-,-,1,v West Indies,Wellington,7-Jan-09
LRPL Taylor (NZ),DNB,-,-,-,-,1,v West Indies,Wellington,7-Jan-09
JM How (NZ),DNB,-,-,-,-,1,v West Indies,Wellington,7-Jan-09
BB McCullum (NZ),DNB,-,-,-,-,1,v West Indies,Wellington,7-Jan-09
FH Edwards (WI),7,0,53,0,7.57,2,v New Zealand,Wellington,7-Jan-09
DBL Powell (WI),7,0,25,3,3.57,2,v New Zealand,Wellington,7-Jan-09
JE Taylor (WI),3,0,10,0,3.33,2,v New Zealand,Wellington,7-Jan-09
NO Miller (WI),3,0,22,0,7.33,2,v New Zealand,Wellington,7-Jan-09
CH Gayle (WI),0.3,0,11,0,22,2,v New Zealand,Wellington,7-Jan-09
KA Pollard (WI),DNB,-,-,-,-,2,v New Zealand,Wellington,7-Jan-09
D Ramdin (WI),DNB,-,-,-,-,2,v New Zealand,Wellington,7-Jan-09
RR Sarwan (WI),DNB,-,-,-,-,2,v New Zealand,Wellington,7-Jan-09
SE Findlay (WI),DNB,-,-,-,-,2,v New Zealand,Wellington,7-Jan-09
XM Marshall (WI),DNB,-,-,-,-,2,v New Zealand,Wellington,7-Jan-09
S Chanderpaul (WI),DNB,-,-,-,-,2,v New Zealand,Wellington,7-Jan-09
FH Edwards (WI),10,0,65,1,6.5,1,v New Zealand,Auckland,10-Jan-09
DBL Powell (WI),10,0,51,1,5.1,1,v New Zealand,Auckland,10-Jan-09
LS Baker (WI),10,1,29,2,2.9,1,v New Zealand,Auckland,10-Jan-09
BP Nash (WI),10,0,43,0,4.3,1,v New Zealand,Auckland,10-Jan-09
NO Miller (WI),6,0,45,0,7.5,1,v New Zealand,Auckland,10-Jan-09
CH Gayle (WI),4,0,29,0,7.25,1,v New Zealand,Auckland,10-Jan-09
RR Sarwan (WI),DNB,-,-,-,-,1,v New Zealand,Auckland,10-Jan-09
D Ramdin (WI),DNB,-,-,-,-,1,v New Zealand,Auckland,10-Jan-09
SE Findlay (WI),DNB,-,-,-,-,1,v New Zealand,Auckland,10-Jan-09
S Chattergoon (WI),DNB,-,-,-,-,1,v New Zealand,Auckland,10-Jan-09
S Chanderpaul (WI),DNB,-,-,-,-,1,v New Zealand,Auckland,10-Jan-09
KD Mills (NZ),5,0,30,0,6,2,v West Indies,Auckland,10-Jan-09
MR Gillespie (NZ),5,1,23,0,4.6,2,v West Indies,Auckland,10-Jan-09
TG Southee (NZ),0.3,0,10,0,20,2,v West Indies,Auckland,10-Jan-09
MJ Guptill (NZ),DNB,-,-,-,-,2,v West Indies,Auckland,10-Jan-09
LRPL Taylor (NZ),DNB,-,-,-,-,2,v West Indies,Auckland,10-Jan-09
DL Vettori (NZ),DNB,-,-,-,-,2,v West Indies,Auckland,10-Jan-09
NT Broom (NZ),DNB,-,-,-,-,2,v West Indies,Auckland,10-Jan-09
BB McCullum (NZ),DNB,-,-,-,-,2,v West Indies,Auckland,10-Jan-09
GD Elliott (NZ),DNB,-,-,-,-,2,v West Indies,Auckland,10-Jan-09
DR Flynn (NZ),DNB,-,-,-,-,2,v West Indies,Auckland,10-Jan-09
MS Sinclair (NZ),DNB,-,-,-,-,2,v West Indies,Auckland,10-Jan-09
Mashrafe Mortaza (BDESH),10,0,41,2,4.1,1,v Zimbabwe,Dhaka,10-Jan-09
Mahbubul Alam (BDESH),10,1,66,0,6.6,1,v Zimbabwe,Dhaka,10-Jan-09
Nazmul Hossain (BDESH),4,0,24,0,6,1,v Zimbabwe,Dhaka,10-Jan-09
Shakib Al Hasan (BDESH),10,3,23,3,2.3,1,v Zimbabwe,Dhaka,10-Jan-09
Naeem Islam (BDESH),10,0,32,3,3.2,1,v Zimbabwe,Dhaka,10-Jan-09
Mohammad Ashraful (BDESH),4,1,9,0,2.25,1,v Zimbabwe,Dhaka,10-Jan-09
Mehrab Hossain jnr (BDESH),2,0,7,0,3.5,1,v Zimbabwe,Dhaka,10-Jan-09
Raqibul Hasan (BDESH),DNB,-,-,-,-,1,v Zimbabwe,Dhaka,10-Jan-09
Junaid Siddique (BDESH),DNB,-,-,-,-,1,v Zimbabwe,Dhaka,10-Jan-09
Mushfiqur Rahim (BDESH),DNB,-,-,-,-,1,v Zimbabwe,Dhaka,10-Jan-09
Tamim Iqbal (BDESH),DNB,-,-,-,-,1,v Zimbabwe,Dhaka,10-Jan-09
EC Rainsford (ZIM),6,0,26,1,4.33,2,v Bangladesh,Dhaka,10-Jan-09
P Utseya (ZIM),10,3,22,2,2.2,2,v Bangladesh,Dhaka,10-Jan-09
T Mupariwa (ZIM),5,0,29,0,5.8,2,v Bangladesh,Dhaka,10-Jan-09
KM Dabengwa (ZIM),10,0,30,1,3,2,v Bangladesh,Dhaka,10-Jan-09
RW Price (ZIM),9.2,1,35,2,3.75,2,v Bangladesh,Dhaka,10-Jan-09
E Chigumbura (ZIM),6,0,21,1,3.5,2,v Bangladesh,Dhaka,10-Jan-09
H Masakadza (ZIM),DNB,-,-,-,-,2,v Bangladesh,Dhaka,10-Jan-09
V Sibanda (ZIM),DNB,-,-,-,-,2,v Bangladesh,Dhaka,10-Jan-09
S Matsikenyeri (ZIM),DNB,-,-,-,-,2,v Bangladesh,Dhaka,10-Jan-09
SC Williams (ZIM),DNB,-,-,-,-,2,v Bangladesh,Dhaka,10-Jan-09
T Taibu (ZIM),DNB,-,-,-,-,2,v Bangladesh,Dhaka,10-Jan-09
EC Rainsford (ZIM),10,0,41,3,4.1,1,v Sri Lanka,Dhaka,12-Jan-09
T Mupariwa (ZIM),8,0,46,0,5.75,1,v Sri Lanka,Dhaka,12-Jan-09
E Chigumbura (ZIM),8,0,42,1,5.25,1,v Sri Lanka,Dhaka,12-Jan-09
P Utseya (ZIM),10,2,28,1,2.8,1,v Sri Lanka,Dhaka,12-Jan-09
RW Price (ZIM),10,3,21,1,2.1,1,v Sri Lanka,Dhaka,12-Jan-09
KM Dabengwa (ZIM),4,0,26,0,6.5,1,v Sri Lanka,Dhaka,12-Jan-09
SC Williams (ZIM),DNB,-,-,-,-,1,v Sri Lanka,Dhaka,12-Jan-09
T Taibu (ZIM),DNB,-,-,-,-,1,v Sri Lanka,Dhaka,12-Jan-09
H Masakadza (ZIM),DNB,-,-,-,-,1,v Sri Lanka,Dhaka,12-Jan-09
V Sibanda (ZIM),DNB,-,-,-,-,1,v Sri Lanka,Dhaka,12-Jan-09
S Matsikenyeri (ZIM),DNB,-,-,-,-,1,v Sri Lanka,Dhaka,12-Jan-09
KMDN Kulasekara (SL),7,2,13,3,1.85,2,v Zimbabwe,Dhaka,12-Jan-09
T Thushara (SL),7,1,19,1,2.71,2,v Zimbabwe,Dhaka,12-Jan-09
AD Mathews (SL),6,0,19,1,3.16,2,v Zimbabwe,Dhaka,12-Jan-09
BAW Mendis (SL),5.2,0,15,3,2.81,2,v Zimbabwe,Dhaka,12-Jan-09
M Muralitharan (SL),3,1,4,2,1.33,2,v Zimbabwe,Dhaka,12-Jan-09
WU Tharanga (SL),DNB,-,-,-,-,2,v Zimbabwe,Dhaka,12-Jan-09
DPMD Jayawardene (SL),DNB,-,-,-,-,2,v Zimbabwe,Dhaka,12-Jan-09
CK Kapugedera (SL),DNB,-,-,-,-,2,v Zimbabwe,Dhaka,12-Jan-09
J Mubarak (SL),DNB,-,-,-,-,2,v Zimbabwe,Dhaka,12-Jan-09
ST Jayasuriya (SL),DNB,-,-,-,-,2,v Zimbabwe,Dhaka,12-Jan-09
KC Sangakkara (SL),DNB,-,-,-,-,2,v Zimbabwe,Dhaka,12-Jan-09
KD Mills (NZ),10,2,57,3,5.7,1,v West Indies,Napier,13-Jan-09
MR Gillespie (NZ),10,0,58,4,5.8,1,v West Indies,Napier,13-Jan-09
TG Southee (NZ),10,0,63,0,6.3,1,v West Indies,Napier,13-Jan-09
DL Vettori (NZ),10,1,45,0,4.5,1,v West Indies,Napier,13-Jan-09
JD Ryder (NZ),6,0,35,1,5.83,1,v West Indies,Napier,13-Jan-09
GD Elliott (NZ),4,0,33,0,8.25,1,v West Indies,Napier,13-Jan-09
NT Broom (NZ),DNB,-,-,-,-,1,v West Indies,Napier,13-Jan-09
DR Flynn (NZ),DNB,-,-,-,-,1,v West Indies,Napier,13-Jan-09
LRPL Taylor (NZ),DNB,-,-,-,-,1,v West Indies,Napier,13-Jan-09
MJ Guptill (NZ),DNB,-,-,-,-,1,v West Indies,Napier,13-Jan-09
BB McCullum (NZ),DNB,-,-,-,-,1,v West Indies,Napier,13-Jan-09
FH Edwards (WI),5,0,46,0,9.2,2,v New Zealand,Napier,13-Jan-09
DBL Powell (WI),10,0,66,3,6.6,2,v New Zealand,Napier,13-Jan-09
LS Baker (WI),6,0,36,1,6,2,v New Zealand,Napier,13-Jan-09
KA Pollard (WI),10,0,40,1,4,2,v New Zealand,Napier,13-Jan-09
BP Nash (WI),4,0,16,0,4,2,v New Zealand,Napier,13-Jan-09
CH Gayle (WI),DNB,-,-,-,-,2,v New Zealand,Napier,13-Jan-09
SE Findlay (WI),DNB,-,-,-,-,2,v New Zealand,Napier,13-Jan-09
S Chattergoon (WI),DNB,-,-,-,-,2,v New Zealand,Napier,13-Jan-09
S Chanderpaul (WI),DNB,-,-,-,-,2,v New Zealand,Napier,13-Jan-09
RR Sarwan (WI),DNB,-,-,-,-,2,v New Zealand,Napier,13-Jan-09
D Ramdin (WI),DNB,-,-,-,-,2,v New Zealand,Napier,13-Jan-09
Mashrafe Mortaza (BDESH),7,1,25,3,3.57,1,v Sri Lanka,Dhaka,14-Jan-09
Mahbubul Alam (BDESH),4,0,25,1,6.25,1,v Sri Lanka,Dhaka,14-Jan-09
Rubel Hossain (BDESH),5.3,0,33,4,6,1,v Sri Lanka,Dhaka,14-Jan-09
Shakib Al Hasan (BDESH),6,0,24,0,4,1,v Sri Lanka,Dhaka,14-Jan-09
Naeem Islam (BDESH),6,0,24,1,4,1,v Sri Lanka,Dhaka,14-Jan-09
Mahmudullah (BDESH),2,0,13,0,6.5,1,v Sri Lanka,Dhaka,14-Jan-09
Tamim Iqbal (BDESH),DNB,-,-,-,-,1,v Sri Lanka,Dhaka,14-Jan-09
Mushfiqur Rahim (BDESH),DNB,-,-,-,-,1,v Sri Lanka,Dhaka,14-Jan-09
Raqibul Hasan (BDESH),DNB,-,-,-,-,1,v Sri Lanka,Dhaka,14-Jan-09
Junaid Siddique (BDESH),DNB,-,-,-,-,1,v Sri Lanka,Dhaka,14-Jan-09
Mohammad Ashraful (BDESH),DNB,-,-,-,-,1,v Sri Lanka,Dhaka,14-Jan-09
KMDN Kulasekara (SL),6,1,45,1,7.5,2,v Bangladesh,Dhaka,14-Jan-09
T Thushara (SL),4,1,12,1,3,2,v Bangladesh,Dhaka,14-Jan-09
BAW Mendis (SL),6.5,0,37,1,5.41,2,v Bangladesh,Dhaka,14-Jan-09
AD Mathews (SL),1,0,12,0,12,2,v Bangladesh,Dhaka,14-Jan-09
M Muralitharan (SL),6,0,40,0,6.66,2,v Bangladesh,Dhaka,14-Jan-09
J Mubarak (SL),DNB,-,-,-,-,2,v Bangladesh,Dhaka,14-Jan-09
ST Jayasuriya (SL),DNB,-,-,-,-,2,v Bangladesh,Dhaka,14-Jan-09
KC Sangakkara (SL),DNB,-,-,-,-,2,v Bangladesh,Dhaka,14-Jan-09
WU Tharanga (SL),DNB,-,-,-,-,2,v Bangladesh,Dhaka,14-Jan-09
DPMD Jayawardene (SL),DNB,-,-,-,-,2,v Bangladesh,Dhaka,14-Jan-09
CK Kapugedera (SL),DNB,-,-,-,-,2,v Bangladesh,Dhaka,14-Jan-09
KMDN Kulasekara (SL),8,1,19,3,2.37,1,v Bangladesh,Dhaka,16-Jan-09
T Thushara (SL),7,2,20,1,2.85,1,v Bangladesh,Dhaka,16-Jan-09
MF Maharoof (SL),8,0,33,1,4.12,1,v Bangladesh,Dhaka,16-Jan-09
BAW Mendis (SL),9.4,0,24,3,2.48,1,v Bangladesh,Dhaka,16-Jan-09
M Muralitharan (SL),10,1,33,2,3.3,1,v Bangladesh,Dhaka,16-Jan-09
ST Jayasuriya (SL),7,1,17,0,2.42,1,v Bangladesh,Dhaka,16-Jan-09
KC Sangakkara (SL),DNB,-,-,-,-,1,v Bangladesh,Dhaka,16-Jan-09
WU Tharanga (SL),DNB,-,-,-,-,1,v Bangladesh,Dhaka,16-Jan-09
DPMD Jayawardene (SL),DNB,-,-,-,-,1,v Bangladesh,Dhaka,16-Jan-09
CK Kapugedera (SL),DNB,-,-,-,-,1,v Bangladesh,Dhaka,16-Jan-09
J Mubarak (SL),DNB,-,-,-,-,1,v Bangladesh,Dhaka,16-Jan-09
Mashrafe Mortaza (BDESH),10,1,18,1,1.8,2,v Sri Lanka,Dhaka,16-Jan-09
Nazmul Hossain (BDESH),10,3,30,3,3,2,v Sri Lanka,Dhaka,16-Jan-09
Shakib Al Hasan (BDESH),10,2,22,2,2.2,2,v Sri Lanka,Dhaka,16-Jan-09
Rubel Hossain (BDESH),9,2,52,0,5.77,2,v Sri Lanka,Dhaka,16-Jan-09
Naeem Islam (BDESH),9.1,2,29,0,3.16,2,v Sri Lanka,Dhaka,16-Jan-09
Mahmudullah (BDESH),DNB,-,-,-,-,2,v Sri Lanka,Dhaka,16-Jan-09
Raqibul Hasan (BDESH),DNB,-,-,-,-,2,v Sri Lanka,Dhaka,16-Jan-09
Mushfiqur Rahim (BDESH),DNB,-,-,-,-,2,v Sri Lanka,Dhaka,16-Jan-09
Mohammad Ashraful (BDESH),DNB,-,-,-,-,2,v Sri Lanka,Dhaka,16-Jan-09
Junaid Siddique (BDESH),DNB,-,-,-,-,2,v Sri Lanka,Dhaka,16-Jan-09
Tamim Iqbal (BDESH),DNB,-,-,-,-,2,v Sri Lanka,Dhaka,16-Jan-09
DW Steyn (SA),10,2,49,1,4.9,1,v Australia,Melbourne,16-Jan-09
JA Morkel (SA),9,0,58,2,6.44,1,v Australia,Melbourne,16-Jan-09
JH Kallis (SA),10,0,35,0,3.5,1,v Australia,Melbourne,16-Jan-09
M Morkel (SA),10,0,68,2,6.8,1,v Australia,Melbourne,16-Jan-09
J Botha (SA),10,0,50,2,5,1,v Australia,Melbourne,16-Jan-09
JP Duminy (SA),1,0,6,0,6,1,v Australia,Melbourne,16-Jan-09
ND McKenzie (SA),DNB,-,-,-,-,1,v Australia,Melbourne,16-Jan-09
VB van Jaarsveld (SA),DNB,-,-,-,-,1,v Australia,Melbourne,16-Jan-09
HH Gibbs (SA),DNB,-,-,-,-,1,v Australia,Melbourne,16-Jan-09
HM Amla (SA),DNB,-,-,-,-,1,v Australia,Melbourne,16-Jan-09
MV Boucher (SA),DNB,-,-,-,-,1,v Australia,Melbourne,16-Jan-09
NW Bracken (AUS),10,2,49,1,4.9,2,v South Africa,Melbourne,16-Jan-09
SW Tait (AUS),10,0,43,2,4.3,2,v South Africa,Melbourne,16-Jan-09
BW Hilfenhaus (AUS),9.3,1,55,2,5.78,2,v South Africa,Melbourne,16-Jan-09
JR Hopes (AUS),10,0,51,0,5.1,2,v South Africa,Melbourne,16-Jan-09
DJ Hussey (AUS),5,0,35,0,7,2,v South Africa,Melbourne,16-Jan-09
MJ Clarke (AUS),5,0,29,1,5.8,2,v South Africa,Melbourne,16-Jan-09
MEK Hussey (AUS),DNB,-,-,-,-,2,v South Africa,Melbourne,16-Jan-09
CL White (AUS),DNB,-,-,-,-,2,v South Africa,Melbourne,16-Jan-09
BJ Haddin (AUS),DNB,-,-,-,-,2,v South Africa,Melbourne,16-Jan-09
SE Marsh (AUS),DNB,-,-,-,-,2,v South Africa,Melbourne,16-Jan-09
RT Ponting (AUS),DNB,-,-,-,-,2,v South Africa,Melbourne,16-Jan-09
DW Steyn (SA),10,2,36,2,3.6,1,v Australia,Hobart,18-Jan-09
M Ntini (SA),9,0,39,3,4.33,1,v Australia,Hobart,18-Jan-09
JH Kallis (SA),10,0,57,2,5.7,1,v Australia,Hobart,18-Jan-09
JA Morkel (SA),8,0,46,0,5.75,1,v Australia,Hobart,18-Jan-09
J Botha (SA),7,0,40,0,5.71,1,v Australia,Hobart,18-Jan-09
JP Duminy (SA),6,0,23,1,3.83,1,v Australia,Hobart,18-Jan-09
AB de Villiers (SA),DNB,-,-,-,-,1,v Australia,Hobart,18-Jan-09
HM Amla (SA),DNB,-,-,-,-,1,v Australia,Hobart,18-Jan-09
ND McKenzie (SA),DNB,-,-,-,-,1,v Australia,Hobart,18-Jan-09
HH Gibbs (SA),DNB,-,-,-,-,1,v Australia,Hobart,18-Jan-09
MV Boucher (SA),DNB,-,-,-,-,1,v Australia,Hobart,18-Jan-09
BW Hilfenhaus (AUS),10,2,60,2,6,2,v South Africa,Hobart,18-Jan-09
NW Bracken (AUS),10,0,38,0,3.8,2,v South Africa,Hobart,18-Jan-09
RJ Harris (AUS),10,0,54,1,5.4,2,v South Africa,Hobart,18-Jan-09
JR Hopes (AUS),10,0,43,1,4.3,2,v South Africa,Hobart,18-Jan-09
DJ Hussey (AUS),7,0,28,0,4,2,v South Africa,Hobart,18-Jan-09
CL White (AUS),3,0,16,0,5.33,2,v South Africa,Hobart,18-Jan-09
MEK Hussey (AUS),DNB,-,-,-,-,2,v South Africa,Hobart,18-Jan-09
SE Marsh (AUS),DNB,-,-,-,-,2,v South Africa,Hobart,18-Jan-09
BJ Haddin (AUS),DNB,-,-,-,-,2,v South Africa,Hobart,18-Jan-09
RT Ponting (AUS),DNB,-,-,-,-,2,v South Africa,Hobart,18-Jan-09
DA Warner (AUS),DNB,-,-,-,-,2,v South Africa,Hobart,18-Jan-09
EC Rainsford (ZIM),8,4,12,1,1.5,1,v Bangladesh,Dhaka,19-Jan-09
T Mupariwa (ZIM),8,2,13,0,1.62,1,v Bangladesh,Dhaka,19-Jan-09
E Chigumbura (ZIM),6,1,26,1,4.33,1,v Bangladesh,Dhaka,19-Jan-09
H Masakadza (ZIM),3,1,14,1,4.66,1,v Bangladesh,Dhaka,19-Jan-09
RW Price (ZIM),10,2,22,4,2.2,1,v Bangladesh,Dhaka,19-Jan-09
P Utseya (ZIM),8,0,22,0,2.75,1,v Bangladesh,Dhaka,19-Jan-09
KM Dabengwa (ZIM),5.1,0,15,3,2.9,1,v Bangladesh,Dhaka,19-Jan-09
SC Williams (ZIM),DNB,-,-,-,-,1,v Bangladesh,Dhaka,19-Jan-09
S Matsikenyeri (ZIM),DNB,-,-,-,-,1,v Bangladesh,Dhaka,19-Jan-09
MN Waller (ZIM),DNB,-,-,-,-,1,v Bangladesh,Dhaka,19-Jan-09
T Taibu (ZIM),DNB,-,-,-,-,1,v Bangladesh,Dhaka,19-Jan-09
Mashrafe Mortaza (BDESH),10,3,21,3,2.1,2,v Zimbabwe,Dhaka,19-Jan-09
Nazmul Hossain (BDESH),7.2,0,33,0,4.5,2,v Zimbabwe,Dhaka,19-Jan-09
Shakib Al Hasan (BDESH),10,4,11,3,1.1,2,v Zimbabwe,Dhaka,19-Jan-09
Rubel Hossain (BDESH),8,1,20,1,2.5,2,v Zimbabwe,Dhaka,19-Jan-09
Naeem Islam (BDESH),8,1,27,0,3.37,2,v Zimbabwe,Dhaka,19-Jan-09
Mahmudullah (BDESH),6,2,7,1,1.16,2,v Zimbabwe,Dhaka,19-Jan-09
Mohammad Ashraful (BDESH),DNB,-,-,-,-,2,v Zimbabwe,Dhaka,19-Jan-09
Junaid Siddique (BDESH),DNB,-,-,-,-,2,v Zimbabwe,Dhaka,19-Jan-09
Tamim Iqbal (BDESH),DNB,-,-,-,-,2,v Zimbabwe,Dhaka,19-Jan-09
Raqibul Hasan (BDESH),DNB,-,-,-,-,2,v Zimbabwe,Dhaka,19-Jan-09
Mushfiqur Rahim (BDESH),DNB,-,-,-,-,2,v Zimbabwe,Dhaka,19-Jan-09
Shoaib Akhtar (PAK),7,0,43,0,6.14,1,v Sri Lanka,Karachi,20-Jan-09
Sohail Tanvir (PAK),5,0,35,0,7,1,v Sri Lanka,Karachi,20-Jan-09
Iftikhar Anjum (PAK),8.2,1,42,4,5.04,1,v Sri Lanka,Karachi,20-Jan-09
Umar Gul (PAK),9,0,30,3,3.33,1,v Sri Lanka,Karachi,20-Jan-09
Shahid Afridi (PAK),10,1,47,1,4.7,1,v Sri Lanka,Karachi,20-Jan-09
Shoaib Malik (PAK),6,0,19,1,3.16,1,v Sri Lanka,Karachi,20-Jan-09
Salman Butt (PAK),DNB,-,-,-,-,1,v Sri Lanka,Karachi,20-Jan-09
Khurram Manzoor (PAK),DNB,-,-,-,-,1,v Sri Lanka,Karachi,20-Jan-09
Kamran Akmal (PAK),DNB,-,-,-,-,1,v Sri Lanka,Karachi,20-Jan-09
Misbah-ul-Haq (PAK),DNB,-,-,-,-,1,v Sri Lanka,Karachi,20-Jan-09
Younis Khan (PAK),DNB,-,-,-,-,1,v Sri Lanka,Karachi,20-Jan-09
KMDN Kulasekara (SL),8,1,35,0,4.37,2,v Pakistan,Karachi,20-Jan-09
T Thushara (SL),8,0,31,0,3.87,2,v Pakistan,Karachi,20-Jan-09
MF Maharoof (SL),7.5,0,44,1,5.61,2,v Pakistan,Karachi,20-Jan-09
M Muralitharan (SL),10,1,42,1,4.2,2,v Pakistan,Karachi,20-Jan-09
BAW Mendis (SL),7,0,41,0,5.85,2,v Pakistan,Karachi,20-Jan-09
ST Jayasuriya (SL),3,0,16,0,5.33,2,v Pakistan,Karachi,20-Jan-09
TM Dilshan (SL),2,0,7,0,3.5,2,v Pakistan,Karachi,20-Jan-09
J Mubarak (SL),DNB,-,-,-,-,2,v Pakistan,Karachi,20-Jan-09
KC Sangakkara (SL),DNB,-,-,-,-,2,v Pakistan,Karachi,20-Jan-09
DPMD Jayawardene (SL),DNB,-,-,-,-,2,v Pakistan,Karachi,20-Jan-09
CK Kapugedera (SL),DNB,-,-,-,-,2,v Pakistan,Karachi,20-Jan-09
Mashrafe Mortaza (BDESH),10,1,22,2,2.2,1,v Zimbabwe,Dhaka,21-Jan-09
Nazmul Hossain (BDESH),10,1,28,3,2.8,1,v Zimbabwe,Dhaka,21-Jan-09
Rubel Hossain (BDESH),8,2,29,2,3.62,1,v Zimbabwe,Dhaka,21-Jan-09
Shakib Al Hasan (BDESH),10,3,24,0,2.4,1,v Zimbabwe,Dhaka,21-Jan-09
Naeem Islam (BDESH),9,0,39,0,4.33,1,v Zimbabwe,Dhaka,21-Jan-09
Mahmudullah (BDESH),3,0,12,0,4,1,v Zimbabwe,Dhaka,21-Jan-09
Tamim Iqbal (BDESH),DNB,-,-,-,-,1,v Zimbabwe,Dhaka,21-Jan-09
Mushfiqur Rahim (BDESH),DNB,-,-,-,-,1,v Zimbabwe,Dhaka,21-Jan-09
Raqibul Hasan (BDESH),DNB,-,-,-,-,1,v Zimbabwe,Dhaka,21-Jan-09
Mohammad Ashraful (BDESH),DNB,-,-,-,-,1,v Zimbabwe,Dhaka,21-Jan-09
Mehrab Hossain jnr (BDESH),DNB,-,-,-,-,1,v Zimbabwe,Dhaka,21-Jan-09
EC Rainsford (ZIM),9,0,33,1,3.66,2,v Bangladesh,Dhaka,21-Jan-09
P Utseya (ZIM),10,1,24,1,2.4,2,v Bangladesh,Dhaka,21-Jan-09
T Mupariwa (ZIM),8.5,1,35,1,3.96,2,v Bangladesh,Dhaka,21-Jan-09
E Chigumbura (ZIM),6,0,35,0,5.83,2,v Bangladesh,Dhaka,21-Jan-09
RW Price (ZIM),10,0,20,1,2,2,v Bangladesh,Dhaka,21-Jan-09
SC Williams (ZIM),1,0,12,0,12,2,v Bangladesh,Dhaka,21-Jan-09
H Masakadza (ZIM),DNB,-,-,-,-,2,v Bangladesh,Dhaka,21-Jan-09
S Matsikenyeri (ZIM),DNB,-,-,-,-,2,v Bangladesh,Dhaka,21-Jan-09
MN Waller (ZIM),DNB,-,-,-,-,2,v Bangladesh,Dhaka,21-Jan-09
T Taibu (ZIM),DNB,-,-,-,-,2,v Bangladesh,Dhaka,21-Jan-09
V Sibanda (ZIM),DNB,-,-,-,-,2,v Bangladesh,Dhaka,21-Jan-09
Shoaib Akhtar (PAK),6,0,45,1,7.5,1,v Sri Lanka,Karachi,21-Jan-09
Sohail Tanvir (PAK),7,0,50,1,7.14,1,v Sri Lanka,Karachi,21-Jan-09
Iftikhar Anjum (PAK),10,1,43,1,4.3,1,v Sri Lanka,Karachi,21-Jan-09
Umar Gul (PAK),9,0,58,4,6.44,1,v Sri Lanka,Karachi,21-Jan-09
Shahid Afridi (PAK),10,0,42,0,4.2,1,v Sri Lanka,Karachi,21-Jan-09
Shoaib Malik (PAK),8,0,51,0,6.37,1,v Sri Lanka,Karachi,21-Jan-09
Kamran Akmal (PAK),DNB,-,-,-,-,1,v Sri Lanka,Karachi,21-Jan-09
Misbah-ul-Haq (PAK),DNB,-,-,-,-,1,v Sri Lanka,Karachi,21-Jan-09
Younis Khan (PAK),DNB,-,-,-,-,1,v Sri Lanka,Karachi,21-Jan-09
Salman Butt (PAK),DNB,-,-,-,-,1,v Sri Lanka,Karachi,21-Jan-09
Khurram Manzoor (PAK),DNB,-,-,-,-,1,v Sri Lanka,Karachi,21-Jan-09
