Date,Player,Runs,Mins,BF,4s,6s,SR,Inns,Oppn,Ground,Runs_only,Not_Outs
2009-01-10,Mahbubul Alam (BDESH),22,32,28,1,1,78.57,2,v Zimbabwe,Dhaka,22,0
2009-01-10,Nazmul Hossain (BDESH),3*,17,13,0,0,23.07,2,v Zimbabwe,Dhaka,3*,1
2009-01-12,WU Tharanga (SL),43,99,56,6,0,76.78,1,v Zimbabwe,Dhaka,43,0
2009-01-12,ST Jayasuriya (SL),22,42,30,3,1,73.33,1,v Zimbabwe,Dhaka,22,0
2009-01-12,KC Sangakkara (SL),4,18,16,0,0,25,1,v Zimbabwe,Dhaka,4,0
2009-01-12,DPMD Jayawardene (SL),0,10,6,0,0,0,1,v Zimbabwe,Dhaka,0,0
2009-01-12,CK Kapugedera (SL),4,9,7,1,0,57.14,1,v Zimbabwe,Dhaka,4,0
2009-01-12,J Mubarak (SL),31,84,62,3,0,50,1,v Zimbabwe,Dhaka,31,0
2009-01-12,AD Mathews (SL),52*,114,96,1,2,54.16,1,v Zimbabwe,Dhaka,52*,1
2009-01-12,T Thushara (SL),28*,42,27,0,2,103.7,1,v Zimbabwe,Dhaka,28*,1
2009-01-12,H Masakadza (ZIM),3,25,22,0,0,13.63,2,v Sri Lanka,Dhaka,3,0
2009-01-12,V Sibanda (ZIM),7,18,16,1,0,43.75,2,v Sri Lanka,Dhaka,7,0
2009-01-12,S Matsikenyeri (ZIM),15,59,29,1,0,51.72,2,v Sri Lanka,Dhaka,15,0
2009-01-12,T Taibu (ZIM),9,16,20,1,0,45,2,v Sri Lanka,Dhaka,9,0
2009-01-12,SC Williams (ZIM),8,23,15,1,0,53.33,2,v Sri Lanka,Dhaka,8,0
2009-01-12,P Utseya (ZIM),8,23,16,1,0,50,2,v Sri Lanka,Dhaka,8,0
2009-01-12,KM Dabengwa (ZIM),6,19,12,1,0,50,2,v Sri Lanka,Dhaka,6,0
2009-01-12,E Chigumbura (ZIM),6,24,25,0,0,24,2,v Sri Lanka,Dhaka,6,0
2009-01-12,RW Price (ZIM),2,6,5,0,0,40,2,v Sri Lanka,Dhaka,2,0
2009-01-12,T Mupariwa (ZIM),0,11,9,0,0,0,2,v Sri Lanka,Dhaka,0,0
2009-01-12,EC Rainsford (ZIM),0*,1,1,0,0,0,2,v Sri Lanka,Dhaka,0*,1
2009-01-13,CH Gayle (WI),135,175,129,9,5,104.65,1,v New Zealand,Napier,135,0
2009-01-13,S Chattergoon (WI),1,10,6,0,0,16.66,1,v New Zealand,Napier,1,0
2009-01-13,RR Sarwan (WI),22,66,43,1,0,51.16,1,v New Zealand,Napier,22,0
2009-01-13,S Chanderpaul (WI),94,118,91,9,1,103.29,1,v New Zealand,Napier,94,0
2009-01-13,SE Findlay (WI),3,5,3,0,0,100,1,v New Zealand,Napier,3,0
2009-01-13,KA Pollard (WI),19,10,8,1,2,237.5,1,v New Zealand,Napier,19,0
2009-01-13,D Ramdin (WI),9,14,11,1,0,81.81,1,v New Zealand,Napier,9,0
2009-01-13,DBL Powell (WI),4,7,4,0,0,100,1,v New Zealand,Napier,4,0
2009-01-13,BP Nash (WI),1*,4,1,0,0,100,1,v New Zealand,Napier,1*,1
2009-01-13,FH Edwards (WI),1,3,4,0,0,25,1,v New Zealand,Napier,1,0
2009-01-13,JD Ryder (NZ),21,29,23,2,1,91.3,2,v West Indies,Napier,21,0
2009-01-13,BB McCullum (NZ),41,56,28,6,1,146.42,2,v West Indies,Napier,41,0
2009-01-13,MJ Guptill (NZ),43,60,39,4,1,110.25,2,v West Indies,Napier,43,0
2009-01-13,LRPL Taylor (NZ),48*,107,71,3,0,67.6,2,v West Indies,Napier,48*,1
2009-01-13,DR Flynn (NZ),21,35,34,2,0,61.76,2,v West Indies,Napier,21,0
2009-01-13,NT Broom (NZ),0,1,1,0,0,0,2,v West Indies,Napier,0,0
2009-01-13,GD Elliott (NZ),14*,33,17,0,0,82.35,2,v West Indies,Napier,14*,1
2009-01-14,WU Tharanga (SL),0,-,3,0,0,0,1,v Bangladesh,Dhaka,0,0
2009-01-14,ST Jayasuriya (SL),54,-,64,7,0,84.37,1,v Bangladesh,Dhaka,54,0
2009-01-14,KC Sangakkara (SL),0,-,5,0,0,0,1,v Bangladesh,Dhaka,0,0
2009-01-14,DPMD Jayawardene (SL),28,-,44,0,0,63.63,1,v Bangladesh,Dhaka,28,0
2009-01-14,CK Kapugedera (SL),28,-,30,2,1,93.33,1,v Bangladesh,Dhaka,28,0
2009-01-14,J Mubarak (SL),10,-,14,0,0,71.42,1,v Bangladesh,Dhaka,10,0
2009-01-14,AD Mathews (SL),2,-,5,0,0,40,1,v Bangladesh,Dhaka,2,0
2009-01-14,T Thushara (SL),0,-,5,0,0,0,1,v Bangladesh,Dhaka,0,0
2009-01-14,KMDN Kulasekara (SL),5,-,5,1,0,100,1,v Bangladesh,Dhaka,5,0
2009-01-14,M Muralitharan (SL),6*,-,8,1,0,75,1,v Bangladesh,Dhaka,6*,1
2009-01-14,BAW Mendis (SL),0,-,1,0,0,0,1,v Bangladesh,Dhaka,0,0
2009-01-14,Tamim Iqbal (BDESH),9,-,13,2,0,69.23,2,v Sri Lanka,Dhaka,9,0
2009-01-14,Junaid Siddique (BDESH),0,-,0,0,0,-,2,v Sri Lanka,Dhaka,0,0
2009-01-14,Mushfiqur Rahim (BDESH),1,-,8,0,0,12.5,2,v Sri Lanka,Dhaka,1,0
2009-01-14,Mohammad Ashraful (BDESH),26,-,41,1,0,63.41,2,v Sri Lanka,Dhaka,26,0
2009-01-14,Shakib Al Hasan (BDESH),92*,-,69,10,2,133.33,2,v Sri Lanka,Dhaka,92*,1
2009-01-14,Raqibul Hasan (BDESH),3,-,6,0,0,50,2,v Sri Lanka,Dhaka,3,0
2009-01-14,Naeem Islam (BDESH),12*,-,6,1,1,200,2,v Sri Lanka,Dhaka,12*,1
2009-01-16,Tamim Iqbal (BDESH),18,64,42,4,0,42.85,1,v Sri Lanka,Dhaka,18,0
2009-01-16,Junaid Siddique (BDESH),1,11,5,0,0,20,1,v Sri Lanka,Dhaka,1,0
2009-01-16,Mushfiqur Rahim (BDESH),4,8,8,1,0,50,1,v Sri Lanka,Dhaka,4,0
