,Player_Name,Country,Runs,Mins,BF,4s,6s,SR,Inns,Oppn,Ground,Date
62,NO Miller ,WI,DNB,-,-,-,-,-,2,v New Zealand,Auckland,10 Jan 2009
63,RR Sarwan ,WI,DNB,-,-,-,-,-,2,v New Zealand,Auckland,10 Jan 2009
64,D Ramdin ,WI,DNB,-,-,-,-,-,2,v New Zealand,Auckland,10 Jan 2009
65,FH Edwards ,WI,DNB,-,-,-,-,-,2,v New Zealand,Auckland,10 Jan 2009
66,H Masakadza ,ZIM,16,21,16,3,0,100.00,1,v Bangladesh,Dhaka,10 Jan 2009
67,V Sibanda ,ZIM,15,62,35,2,0,42.85,1,v Bangladesh,Dhaka,10 Jan 2009
68,S Matsikenyeri ,ZIM,39,75,51,6,0,76.47,1,v Bangladesh,Dhaka,10 Jan 2009
69,T Taibu ,ZIM,17,25,19,3,0,89.47,1,v Bangladesh,Dhaka,10 Jan 2009
70,SC Williams ,ZIM,3,5,13,0,0,23.07,1,v Bangladesh,Dhaka,10 Jan 2009
71,KM Dabengwa ,ZIM,10,34,25,0,0,40.00,1,v Bangladesh,Dhaka,10 Jan 2009
72,E Chigumbura ,ZIM,64,98,95,5,1,67.36,1,v Bangladesh,Dhaka,10 Jan 2009
73,P Utseya ,ZIM,9,37,28,0,0,32.14,1,v Bangladesh,Dhaka,10 Jan 2009
74,RW Price ,ZIM,17,21,16,2,0,106.25,1,v Bangladesh,Dhaka,10 Jan 2009
75,T Mupariwa ,ZIM,1*,7,1,0,0,100.00,1,v Bangladesh,Dhaka,10 Jan 2009
76,EC Rainsford ,ZIM,0*,1,1,0,0,0.00,1,v Bangladesh,Dhaka,10 Jan 2009
77,Tamim Iqbal ,BDESH,13,47,40,2,0,32.50,2,v Zimbabwe,Dhaka,10 Jan 2009
78,Junaid Siddique ,BDESH,0,6,2,0,0,0.00,2,v Zimbabwe,Dhaka,10 Jan 2009
79,Mushfiqur Rahim ,BDESH,0,5,5,0,0,0.00,2,v Zimbabwe,Dhaka,10 Jan 2009
80,Mohammad Ashraful ,BDESH,18,37,21,3,0,85.71,2,v Zimbabwe,Dhaka,10 Jan 2009
81,Shakib Al Hasan ,BDESH,52,91,66,3,0,78.78,2,v Zimbabwe,Dhaka,10 Jan 2009
82,Raqibul Hasan ,BDESH,23,55,36,2,0,63.88,2,v Zimbabwe,Dhaka,10 Jan 2009
83,Mehrab Hossain jnr ,BDESH,2,3,4,0,0,50.00,2,v Zimbabwe,Dhaka,10 Jan 2009
84,Naeem Islam ,BDESH,21,49,52,1,0,40.38,2,v Zimbabwe,Dhaka,10 Jan 2009
85,Mashrafe Mortaza ,BDESH,3,14,11,0,0,27.27,2,v Zimbabwe,Dhaka,10 Jan 2009
86,Mahbubul Alam ,BDESH,22,32,28,1,1,78.57,2,v Zimbabwe,Dhaka,10 Jan 2009
87,Nazmul Hossain ,BDESH,3*,17,13,0,0,23.07,2,v Zimbabwe,Dhaka,10 Jan 2009
88,WU Tharanga ,SL,43,99,56,6,0,76.78,1,v Zimbabwe,Dhaka,12 Jan 2009
89,ST Jayasuriya ,SL,22,42,30,3,1,73.33,1,v Zimbabwe,Dhaka,12 Jan 2009
90,KC Sangakkara ,SL,4,18,16,0,0,25.00,1,v Zimbabwe,Dhaka,12 Jan 2009
91,DPMD Jayawardene ,SL,0,10,6,0,0,0.00,1,v Zimbabwe,Dhaka,12 Jan 2009
92,CK Kapugedera ,SL,4,9,7,1,0,57.14,1,v Zimbabwe,Dhaka,12 Jan 2009
93,J Mubarak ,SL,31,84,62,3,0,50.00,1,v Zimbabwe,Dhaka,12 Jan 2009
94,AD Mathews ,SL,52*,114,96,1,2,54.16,1,v Zimbabwe,Dhaka,12 Jan 2009
95,T Thushara ,SL,28*,42,27,0,2,103.70,1,v Zimbabwe,Dhaka,12 Jan 2009
96,KMDN Kulasekara ,SL,DNB,-,-,-,-,-,1,v Zimbabwe,Dhaka,12 Jan 2009
97,BAW Mendis ,SL,DNB,-,-,-,-,-,1,v Zimbabwe,Dhaka,12 Jan 2009
98,M Muralitharan ,SL,DNB,-,-,-,-,-,1,v Zimbabwe,Dhaka,12 Jan 2009
99,H Masakadza ,ZIM,3,25,22,0,0,13.63,2,v Sri Lanka,Dhaka,12 Jan 2009
100,V Sibanda ,ZIM,7,18,16,1,0,43.75,2,v Sri Lanka,Dhaka,12 Jan 2009
